 Substance:BZO200d       2023/12/04 18:04:07                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.821    0.117    -0.104   0.104  -0.245   0.070   0.182    -0.145   0.079   0.029   0.078  -0.159     0.085   0.100   0.114   0.086  -0.157
   0.845    0.124    -0.100   0.086  -0.234   0.077   0.178    -0.145   0.078   0.021   0.071  -0.159     0.094   0.094   0.130   0.084  -0.148
   0.868    0.098    -0.098   0.071  -0.222   0.081   0.158    -0.149   0.070   0.015   0.061  -0.157     0.102   0.090   0.136   0.084  -0.145
   0.891    0.042    -0.098   0.061  -0.211   0.084   0.129    -0.154   0.056   0.013   0.053  -0.154     0.103   0.090   0.132   0.085  -0.147
   0.915   -0.030    -0.100   0.055  -0.204   0.084   0.099    -0.158   0.040   0.013   0.048  -0.150     0.095   0.093   0.121   0.087  -0.153
   0.938   -0.101    -0.103   0.052  -0.205   0.080   0.074    -0.160   0.025   0.016   0.045  -0.145     0.082   0.098   0.106   0.090  -0.157
   0.962   -0.155    -0.106   0.051  -0.215   0.074   0.061    -0.159   0.019   0.021   0.043  -0.142     0.068   0.103   0.091   0.093  -0.158
   0.985   -0.189    -0.109   0.053  -0.232   0.067   0.057    -0.157   0.023   0.027   0.042  -0.140     0.057   0.105   0.080   0.096  -0.157
   1.009   -0.204    -0.111   0.058  -0.250   0.059   0.061    -0.156   0.036   0.035   0.040  -0.141     0.051   0.101   0.072   0.097  -0.156
   1.032   -0.207    -0.114   0.061  -0.263   0.053   0.069    -0.156   0.055   0.047   0.036  -0.144     0.050   0.093   0.064   0.095  -0.157
   1.056   -0.203    -0.116   0.062  -0.264   0.049   0.078    -0.157   0.074   0.062   0.031  -0.147     0.051   0.086   0.055   0.090  -0.158
   1.079   -0.196    -0.119   0.059  -0.254   0.048   0.086    -0.158   0.087   0.079   0.027  -0.151     0.050   0.083   0.045   0.081  -0.160
   1.103   -0.184    -0.123   0.056  -0.236   0.049   0.091    -0.160   0.094   0.093   0.028  -0.155     0.047   0.084   0.038   0.071  -0.161
   1.126   -0.167    -0.130   0.059  -0.220   0.053   0.092    -0.162   0.095   0.101   0.035  -0.158     0.042   0.089   0.036   0.064  -0.162
   1.149   -0.141    -0.137   0.067  -0.211   0.060   0.090    -0.166   0.094   0.101   0.049  -0.161     0.038   0.094   0.042   0.061  -0.162
   1.173   -0.106    -0.142   0.077  -0.210   0.066   0.089    -0.167   0.092   0.095   0.066  -0.161     0.034   0.098   0.055   0.064  -0.160
   1.196   -0.061    -0.141   0.079  -0.212   0.069   0.091    -0.163   0.089   0.090   0.081  -0.157     0.030   0.102   0.067   0.067  -0.153
   1.220   -0.009    -0.132   0.069  -0.209   0.069   0.098    -0.153   0.084   0.089   0.090  -0.147     0.025   0.106   0.076   0.068  -0.142
   1.243    0.038    -0.120   0.056  -0.205   0.066   0.107    -0.142   0.078   0.093   0.094  -0.137     0.022   0.108   0.081   0.068  -0.131
   1.267    0.064    -0.112   0.057  -0.208   0.067   0.112    -0.138   0.073   0.096   0.098  -0.137     0.025   0.103   0.085   0.069  -0.127
   1.290    0.059    -0.115   0.085  -0.226   0.076   0.109    -0.149   0.074   0.093   0.106  -0.151     0.038   0.088   0.095   0.077  -0.138
   1.314    0.033    -0.128   0.128  -0.254   0.090   0.101    -0.170   0.078   0.084   0.118  -0.177     0.059   0.065   0.107   0.088  -0.157
   1.337    0.022    -0.136   0.144  -0.263   0.098   0.105    -0.181   0.077   0.084   0.121  -0.190     0.076   0.051   0.109   0.090  -0.165
   1.361    0.084    -0.112   0.064  -0.205   0.082   0.144    -0.149   0.053   0.115   0.095  -0.157     0.068   0.071   0.080   0.064  -0.129
   1.384    0.274    -0.032  -0.171  -0.039   0.024   0.238    -0.045  -0.010   0.199   0.021  -0.049     0.017   0.150   0.002  -0.009  -0.022
   1.408    0.605     0.109  -0.574   0.247  -0.080   0.389     0.139  -0.116   0.343  -0.106   0.143    -0.084   0.295  -0.128  -0.133   0.162
   1.431    1.033     0.291  -1.083   0.611  -0.216   0.574     0.375  -0.248   0.524  -0.267   0.388    -0.219   0.488  -0.293  -0.289   0.396
   1.454    1.455     0.469  -1.575   0.965  -0.351   0.749     0.607  -0.376   0.702  -0.425   0.627    -0.354   0.685  -0.450  -0.441   0.622
   1.478    1.751     0.592  -1.905   1.206  -0.447   0.863     0.766  -0.462   0.824  -0.534   0.790    -0.448   0.830  -0.556  -0.542   0.775
   1.501    1.829     0.620  -1.968   1.256  -0.474   0.877     0.803  -0.478   0.853  -0.563   0.826    -0.471   0.881  -0.575  -0.562   0.805
   1.525    1.668     0.546  -1.742   1.100  -0.426   0.788     0.708  -0.420   0.779  -0.504   0.725    -0.417   0.825  -0.504  -0.494   0.703
