 Substance:BZO200d       2023/12/04 18:04:07                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
  12.902    0.934     0.084   0.299   0.208   0.042  -0.070     0.095   0.042  -0.071   0.045   0.095     0.045  -0.070   0.047   0.046   0.095
  12.926    0.969     0.076   0.238   0.185   0.081  -0.096     0.087   0.081  -0.097   0.083   0.086     0.083  -0.098   0.086   0.086   0.087
  12.949    1.011     0.061   0.154   0.143   0.120  -0.097     0.072   0.120  -0.100   0.124   0.070     0.122  -0.102   0.126   0.127   0.071
  12.973    1.069     0.044   0.078   0.092   0.150  -0.073     0.053   0.150  -0.077   0.157   0.051     0.151  -0.079   0.159   0.161   0.052
  12.996    1.144     0.027   0.032   0.047   0.164  -0.025     0.035   0.165  -0.032   0.175   0.034     0.165  -0.034   0.176   0.179   0.034
  13.020    1.223     0.016   0.013   0.018   0.160   0.038     0.023   0.162   0.030   0.174   0.023     0.161   0.028   0.175   0.178   0.023
  13.043    1.282     0.013   0.004   0.012   0.140   0.105     0.020   0.142   0.096   0.156   0.020     0.140   0.095   0.156   0.160   0.020
  13.067    1.296     0.018  -0.013   0.028   0.108   0.164     0.025   0.111   0.154   0.128   0.025     0.109   0.155   0.128   0.131   0.025
  13.090    1.255     0.028  -0.046   0.057   0.073   0.203     0.035   0.076   0.195   0.096   0.036     0.073   0.196   0.096   0.099   0.036
  13.113    1.166     0.039  -0.082   0.090   0.041   0.218     0.048   0.044   0.213   0.067   0.048     0.041   0.213   0.068   0.070   0.049
  13.137    1.050     0.048  -0.100   0.114   0.017   0.207     0.057   0.020   0.205   0.047   0.057     0.017   0.205   0.049   0.050   0.058
  13.160    0.928     0.050  -0.084   0.121   0.003   0.177     0.060   0.006   0.178   0.036   0.059     0.004   0.177   0.038   0.039   0.061
  13.184    0.817     0.045  -0.032   0.108  -0.001   0.139     0.056   0.002   0.141   0.034   0.055     0.001   0.140   0.036   0.037   0.056
  13.207    0.725     0.035   0.039   0.077   0.003   0.101     0.045   0.006   0.104   0.039   0.044     0.005   0.102   0.040   0.042   0.045
  13.231    0.657     0.020   0.105   0.035   0.012   0.074     0.029   0.016   0.076   0.047   0.029     0.015   0.074   0.047   0.049   0.029
  13.254    0.621     0.004   0.150  -0.011   0.026   0.061     0.013   0.030   0.063   0.057   0.012     0.028   0.061   0.057   0.058   0.012
  13.278    0.628    -0.011   0.168  -0.053   0.042   0.065    -0.002   0.046   0.065   0.069  -0.003     0.043   0.064   0.068   0.069  -0.002
  13.301    0.687    -0.021   0.165  -0.083   0.059   0.083    -0.013   0.063   0.080   0.082  -0.014     0.059   0.080   0.080   0.079  -0.012
  13.325    0.795    -0.025   0.151  -0.096   0.074   0.108    -0.018   0.078   0.104   0.093  -0.018     0.074   0.104   0.092   0.090  -0.017
  13.348    0.932    -0.023   0.129  -0.091   0.086   0.136    -0.016   0.090   0.132   0.102  -0.016     0.085   0.132   0.102   0.099  -0.014
  13.371    1.065    -0.014   0.096  -0.066   0.089   0.164    -0.007   0.094   0.159   0.106  -0.007     0.089   0.160   0.106   0.103  -0.005
  13.395    1.160    -0.000   0.048  -0.026   0.084   0.187     0.007   0.089   0.183   0.102   0.007     0.084   0.184   0.103   0.100   0.009
  13.418    1.194     0.017  -0.010   0.022   0.069   0.204     0.024   0.075   0.202   0.090   0.025     0.070   0.202   0.091   0.089   0.025
  13.442    1.164     0.033  -0.064   0.067   0.049   0.213     0.040   0.054   0.212   0.071   0.042     0.050   0.212   0.072   0.071   0.041
  13.465    1.086     0.045  -0.095   0.101   0.028   0.210     0.053   0.031   0.210   0.051   0.054     0.030   0.209   0.052   0.053   0.053
  13.489    0.986     0.052  -0.093   0.118   0.014   0.192     0.060   0.015   0.192   0.035   0.061     0.016   0.191   0.037   0.038   0.058
  13.512    0.888     0.051  -0.060   0.118   0.012   0.156     0.060   0.011   0.157   0.030   0.061     0.014   0.155   0.032   0.034   0.058
  13.536    0.814     0.047  -0.015   0.105   0.025   0.104     0.056   0.022   0.105   0.040   0.057     0.027   0.103   0.041   0.043   0.054
  13.559    0.781     0.041   0.021   0.089   0.053   0.043     0.050   0.049   0.044   0.064   0.051     0.054   0.042   0.065   0.067   0.048
  13.583    0.806     0.036   0.034   0.077   0.090  -0.014     0.046   0.086  -0.014   0.098   0.047     0.090  -0.015   0.099   0.102   0.044
  13.606    0.901     0.034   0.025   0.073   0.129  -0.054     0.044   0.126  -0.054   0.137   0.045     0.128  -0.055   0.138   0.142   0.043
  13.630    1.066     0.034   0.011   0.073   0.163  -0.065     0.044   0.162  -0.064   0.172   0.044     0.162  -0.064   0.173   0.177   0.044
  13.653    1.279     0.035   0.006   0.074   0.186  -0.043     0.044   0.187  -0.041   0.197   0.044     0.186  -0.040   0.198   0.201   0.045
  13.676    1.494     0.033   0.019   0.070   0.196   0.007     0.043   0.197   0.011   0.206   0.042     0.196   0.012   0.207   0.210   0.044
  13.700    1.652     0.030   0.043   0.060   0.191   0.071     0.040   0.192   0.076   0.198   0.039     0.192   0.077   0.201   0.202   0.041
  13.723    1.705     0.026   0.066   0.047   0.174   0.130     0.035   0.174   0.136   0.177   0.034     0.174   0.137   0.180   0.179   0.036
  13.747    1.637     0.023   0.081   0.039   0.148   0.168     0.033   0.147   0.174   0.145   0.032     0.148   0.173   0.149   0.146   0.033
  13.770    1.469     0.024   0.090   0.042   0.118   0.175     0.034   0.114   0.180   0.109   0.033     0.116   0.179   0.113   0.109   0.033
  13.794    1.253     0.029   0.106   0.060   0.086   0.153     0.040   0.081   0.157   0.074   0.040     0.083   0.154   0.078   0.073   0.039
  13.817    1.047     0.039   0.139   0.088   0.057   0.111     0.050   0.051   0.114   0.045   0.051     0.052   0.111   0.049   0.042   0.049
  13.841    0.891     0.049   0.189   0.118   0.033   0.065     0.061   0.026   0.066   0.024   0.062     0.028   0.063   0.027   0.021   0.060
  13.864    0.796     0.055   0.245   0.136   0.017   0.027     0.067   0.010   0.028   0.013   0.069     0.013   0.025   0.016   0.009   0.067
  13.888    0.751     0.054   0.289   0.133   0.010   0.008     0.066   0.005   0.007   0.012   0.067     0.007   0.004   0.014   0.008   0.066
  13.911    0.738     0.044   0.306   0.104   0.013   0.008     0.056   0.010   0.008   0.021   0.057     0.012   0.004   0.022   0.016   0.056
  13.934    0.745     0.029   0.293   0.056   0.025   0.025     0.039   0.023   0.025   0.036   0.040     0.025   0.021   0.036   0.031   0.040
  13.958    0.774     0.011   0.257   0.003   0.043   0.052     0.020   0.042   0.054   0.055   0.021     0.043   0.049   0.054   0.050   0.021
  13.981    0.831    -0.003   0.206  -0.040   0.061   0.085     0.004   0.062   0.088   0.073   0.005     0.062   0.083   0.071   0.069   0.005
  14.005    0.913    -0.009   0.146  -0.056   0.076   0.119    -0.002   0.076   0.122   0.085  -0.001     0.076   0.118   0.083   0.082  -0.001
  14.028    1.007    -0.004   0.080  -0.040   0.081   0.150     0.003   0.081   0.154   0.088   0.004     0.081   0.151   0.086   0.087   0.004
  14.052    1.087     0.012   0.010   0.007   0.076   0.176     0.019   0.076   0.181   0.079   0.020     0.076   0.178   0.078   0.080   0.020
  14.075    1.132     0.034  -0.054   0.074   0.061   0.192     0.042   0.060   0.198   0.059   0.042     0.061   0.196   0.060   0.062   0.043
  14.099    1.131     0.058  -0.095   0.146   0.039   0.196     0.067   0.037   0.200   0.035   0.067     0.040   0.199   0.036   0.039   0.067
  14.122    1.095     0.078  -0.096   0.208   0.017   0.182     0.088   0.015   0.186   0.011   0.088     0.018   0.185   0.013   0.015   0.088
  14.146    1.041     0.091  -0.052   0.249   0.001   0.150     0.102  -0.001   0.153  -0.005   0.101     0.003   0.152  -0.004  -0.001   0.102
  14.169    0.990     0.095   0.025   0.263  -0.003   0.105     0.107  -0.006   0.106  -0.008   0.106    -0.001   0.106  -0.007  -0.004   0.106
  14.193    0.950     0.091   0.108   0.250   0.006   0.054     0.103   0.004   0.054   0.004   0.102     0.009   0.054   0.004   0.007   0.102
  14.216    0.919     0.079   0.167   0.214   0.027   0.006     0.091   0.026   0.005   0.029   0.090     0.030   0.005   0.028   0.031   0.090
  14.239    0.888     0.063   0.186   0.164   0.055  -0.029     0.074   0.054  -0.030   0.059   0.074     0.057  -0.030   0.058   0.060   0.074
  14.263    0.848     0.044   0.163   0.107   0.081  -0.045     0.055   0.081  -0.046   0.087   0.055     0.084  -0.046   0.087   0.088   0.055
  14.286    0.795     0.025   0.115   0.049   0.100  -0.041     0.036   0.101  -0.042   0.106   0.036     0.102  -0.042   0.107   0.107   0.036
  14.310    0.736     0.009   0.062  -0.002   0.108  -0.019     0.018   0.109  -0.019   0.114   0.018     0.109  -0.020   0.115   0.114   0.019
  14.333    0.682    -0.003   0.022  -0.040   0.104   0.015     0.005   0.106   0.014   0.110   0.005     0.105   0.013   0.111   0.110   0.006
  14.357    0.644    -0.009   0.002  -0.062   0.092   0.051    -0.002   0.094   0.050   0.097  -0.003     0.091   0.049   0.098   0.097  -0.002
  14.380    0.629    -0.009   0.001  -0.064   0.075   0.082    -0.003   0.077   0.081   0.080  -0.003     0.074   0.080   0.080   0.080  -0.003
  14.404    0.638    -0.003   0.016  -0.046   0.058   0.101     0.004   0.059   0.100   0.064   0.002     0.055   0.100   0.063   0.063   0.003
  14.427    0.664     0.007   0.045  -0.015   0.043   0.105     0.015   0.044   0.104   0.050   0.013     0.039   0.104   0.049   0.050   0.013
  14.451    0.692     0.019   0.086   0.021   0.031   0.095     0.027   0.031   0.093   0.041   0.025     0.026   0.094   0.038   0.040   0.025
  14.474    0.711     0.029   0.134   0.052   0.022   0.075     0.037   0.023   0.073   0.036   0.036     0.018   0.074   0.032   0.034   0.036
  14.497    0.714     0.033   0.181   0.067   0.018   0.054     0.043   0.019   0.052   0.035   0.041     0.014   0.053   0.031   0.032   0.041
  14.521    0.705     0.031   0.216   0.062   0.019   0.040     0.041   0.019   0.037   0.037   0.039     0.016   0.038   0.033   0.035   0.040
  14.544    0.699     0.023   0.232   0.037   0.026   0.039     0.034   0.026   0.035   0.044   0.032     0.024   0.035   0.039   0.042   0.033
  14.568    0.712     0.011   0.225   0.001   0.038   0.050     0.022   0.037   0.047   0.053   0.020     0.036   0.046   0.050   0.053   0.021
  14.591    0.754    -0.000   0.201  -0.036   0.053   0.072     0.011   0.052   0.069   0.065   0.008     0.052   0.069   0.063   0.066   0.009
  14.615    0.820    -0.009   0.166  -0.064   0.069   0.098     0.001   0.067   0.097   0.078  -0.001     0.068   0.096   0.076   0.079  -0.001
  14.638    0.895    -0.013   0.128  -0.077   0.081   0.122    -0.003   0.080   0.122   0.088  -0.006     0.081   0.122   0.087   0.089  -0.005
  14.662    0.955    -0.011   0.096  -0.074   0.086   0.139    -0.003   0.087   0.140   0.092  -0.005     0.087   0.141   0.091   0.094  -0.004
  14.685    0.983    -0.006   0.074  -0.056   0.084   0.146     0.002   0.086   0.148   0.090  -0.000     0.086   0.149   0.088   0.091   0.001
  14.709    0.974     0.003   0.069  -0.028   0.075   0.142     0.010   0.078   0.145   0.081   0.008     0.078   0.145   0.078   0.080   0.010
  14.732    0.938     0.013   0.081   0.006   0.061   0.128     0.021   0.065   0.131   0.067   0.019     0.065   0.129   0.064   0.066   0.021
  14.756    0.891     0.024   0.108   0.043   0.047   0.103     0.033   0.051   0.107   0.053   0.031     0.052   0.104   0.051   0.051   0.033
  14.779    0.853     0.035   0.140   0.080   0.039   0.070     0.044   0.043   0.074   0.044   0.043     0.043   0.069   0.043   0.042   0.045
  14.802    0.835     0.044   0.164   0.110   0.041   0.030     0.053   0.043   0.035   0.045   0.053     0.043   0.030   0.045   0.044   0.054
  14.826    0.845     0.050   0.171   0.129   0.053  -0.009     0.058   0.055  -0.004   0.058   0.060     0.055  -0.008   0.059   0.057   0.059
  14.849    0.880     0.052   0.158   0.132   0.075  -0.041     0.058   0.077  -0.035   0.082   0.061     0.076  -0.037   0.083   0.080   0.059
  14.873    0.938     0.048   0.127   0.119   0.102  -0.057     0.053   0.103  -0.050   0.109   0.057     0.102  -0.050   0.111   0.108   0.055
  14.896    1.012     0.041   0.088   0.096   0.126  -0.050     0.046   0.126  -0.043   0.134   0.050     0.125  -0.040   0.135   0.131   0.047
  14.920    1.092     0.034   0.048   0.073   0.139  -0.019     0.039   0.138  -0.013   0.148   0.042     0.138  -0.008   0.148   0.144   0.040
  14.943    1.167     0.031   0.008   0.063   0.138   0.030     0.037   0.136   0.036   0.148   0.039     0.135   0.042   0.146   0.142   0.037
  14.967    1.224     0.034  -0.032   0.073   0.122   0.088     0.041   0.119   0.093   0.132   0.043     0.119   0.098   0.129   0.125   0.041
  14.990    1.251     0.043  -0.073   0.101   0.097   0.142     0.051   0.092   0.146   0.106   0.052     0.093   0.150   0.101   0.098   0.051
  15.014    1.240     0.055  -0.110   0.139   0.068   0.181     0.064   0.064   0.183   0.076   0.065     0.063   0.187   0.071   0.069   0.064
  15.037    1.188     0.064  -0.134   0.171   0.044   0.199     0.075   0.039   0.199   0.050   0.076     0.039   0.201   0.045   0.044   0.075
  15.061    1.100     0.068  -0.134   0.182   0.028   0.194     0.079   0.024   0.193   0.033   0.080     0.023   0.194   0.028   0.028   0.079
  15.084    0.991     0.062  -0.104   0.165   0.023   0.172     0.074   0.019   0.170   0.027   0.075     0.018   0.171   0.023   0.023   0.074
  15.107    0.889     0.049  -0.049   0.123   0.027   0.144     0.060   0.023   0.141   0.030   0.061     0.022   0.142   0.028   0.027   0.061
  15.131    0.827     0.031   0.019   0.068   0.038   0.120     0.042   0.034   0.116   0.041   0.044     0.034   0.118   0.040   0.039   0.044
  15.154    0.841     0.014   0.086   0.014   0.053   0.109     0.025   0.050   0.105   0.057   0.026     0.051   0.107   0.057   0.057   0.027
  15.178    0.948     0.003   0.138  -0.022   0.071   0.115     0.013   0.070   0.112   0.077   0.015     0.071   0.115   0.078   0.079   0.014
  15.201    1.140    -0.002   0.167  -0.035   0.090   0.138     0.009   0.090   0.135   0.098   0.011     0.091   0.139   0.098   0.101   0.010
  15.225    1.376     0.002   0.171  -0.024   0.106   0.171     0.013   0.107   0.169   0.116   0.015     0.108   0.173   0.117   0.120   0.013
  15.248    1.595     0.011   0.154   0.005   0.115   0.205     0.022   0.117   0.204   0.128   0.024     0.118   0.209   0.129   0.132   0.023
  15.272    1.732     0.023   0.124   0.040   0.114   0.232     0.034   0.116   0.232   0.130   0.035     0.117   0.236   0.132   0.135   0.034
  15.295    1.747     0.034   0.090   0.073   0.101   0.243     0.044   0.103   0.243   0.122   0.046     0.104   0.247   0.124   0.126   0.045
  15.319    1.637     0.042   0.060   0.098   0.079   0.235     0.052   0.082   0.235   0.107   0.054     0.082   0.239   0.110   0.110   0.053
  15.342    1.438     0.046   0.043   0.111   0.054   0.208     0.056   0.059   0.207   0.089   0.057     0.059   0.210   0.092   0.091   0.057
  15.365    1.210     0.047   0.039   0.113   0.036   0.165     0.057   0.041   0.163   0.075   0.057     0.040   0.164   0.079   0.077   0.057
  15.389    1.012     0.045   0.046   0.109   0.029   0.112     0.055   0.036   0.109   0.071   0.055     0.034   0.109   0.074   0.073   0.055
  15.412    0.886     0.042   0.058   0.100   0.038   0.058     0.053   0.044   0.054   0.079   0.051     0.042   0.053   0.081   0.080   0.052
  15.436    0.844     0.038   0.067   0.088   0.059   0.013     0.050   0.065   0.009   0.096   0.047     0.062   0.007   0.098   0.098   0.049
  15.459    0.874     0.034   0.067   0.074   0.087  -0.015     0.046   0.090  -0.018   0.117   0.042     0.087  -0.019   0.118   0.119   0.045
  15.483    0.949     0.030   0.059   0.059   0.111  -0.018     0.041   0.114  -0.021   0.135   0.037     0.111  -0.022   0.136   0.137   0.040
  15.506    1.038     0.025   0.046   0.043   0.127   0.002     0.036   0.128  -0.001   0.146   0.032     0.126  -0.001   0.147   0.148   0.035
  15.530    1.114     0.021   0.033   0.028   0.129   0.040     0.031   0.129   0.037   0.146   0.028     0.128   0.039   0.147   0.148   0.030
  15.553    1.163     0.019   0.026   0.021   0.118   0.084     0.027   0.119   0.081   0.136   0.026     0.118   0.084   0.138   0.138   0.027
  15.577    1.179     0.020   0.030   0.024   0.099   0.123     0.028   0.099   0.119   0.118   0.026     0.100   0.123   0.121   0.120   0.027
  15.600    1.163     0.025   0.047   0.042   0.076   0.146     0.032   0.076   0.141   0.096   0.032     0.077   0.146   0.100   0.098   0.032
  15.624    1.126     0.033   0.077   0.071   0.053   0.148     0.040   0.053   0.143   0.074   0.040     0.054   0.147   0.078   0.075   0.040
  15.647    1.079     0.042   0.119   0.103   0.036   0.132     0.050   0.035   0.127   0.055   0.050     0.037   0.130   0.059   0.055   0.049
  15.670    1.028     0.049   0.167   0.127   0.025   0.107     0.058   0.024   0.101   0.042   0.057     0.026   0.103   0.045   0.041   0.057
  15.694    0.978     0.051   0.211   0.132   0.022   0.081     0.060   0.021   0.076   0.035   0.059     0.023   0.076   0.037   0.033   0.060
  15.717    0.926     0.046   0.241   0.113   0.026   0.062     0.055   0.025   0.059   0.035   0.053     0.027   0.057   0.037   0.033   0.055
  15.741    0.867     0.034   0.246   0.073   0.034   0.055     0.043   0.033   0.054   0.041   0.042     0.035   0.051   0.043   0.039   0.043
  15.764    0.803     0.019   0.224   0.021   0.043   0.059     0.028   0.043   0.060   0.050   0.027     0.044   0.055   0.052   0.049   0.028
  15.788    0.741     0.004   0.178  -0.027   0.052   0.071     0.014   0.052   0.073   0.059   0.013     0.052   0.068   0.061   0.059   0.013
  15.811    0.696    -0.005   0.120  -0.058   0.057   0.087     0.005   0.058   0.089   0.065   0.004     0.056   0.085   0.067   0.066   0.003
  15.835    0.680    -0.007   0.062  -0.064   0.057   0.103     0.003   0.058   0.105   0.066   0.002     0.057   0.102   0.068   0.068   0.001
  15.858    0.700    -0.002   0.020  -0.044   0.053   0.117     0.009   0.054   0.118   0.062   0.008     0.053   0.117   0.064   0.065   0.006
  15.882    0.746     0.009  -0.000  -0.007   0.046   0.126     0.020   0.047   0.127   0.055   0.019     0.046   0.127   0.056   0.058   0.017
  15.905    0.799     0.022   0.004   0.036   0.038   0.127     0.033   0.039   0.127   0.046   0.032     0.040   0.129   0.046   0.050   0.030
  15.928    0.841     0.033   0.028   0.073   0.033   0.118     0.043   0.034   0.118   0.039   0.043     0.036   0.120   0.039   0.044   0.042
  15.952    0.864     0.040   0.061   0.096   0.033   0.099     0.049   0.034   0.098   0.037   0.049     0.037   0.101   0.037   0.042   0.049
  15.975    0.876     0.042   0.096   0.102   0.041   0.075     0.051   0.041   0.073   0.043   0.051     0.044   0.076   0.042   0.047   0.051
  15.999    0.902     0.040   0.123   0.094   0.056   0.052     0.048   0.056   0.050   0.057   0.048     0.059   0.053   0.056   0.061   0.048
  16.022    0.968     0.036   0.139   0.078   0.077   0.041     0.043   0.076   0.038   0.077   0.044     0.079   0.041   0.076   0.080   0.044
  16.046    1.085     0.031   0.141   0.062   0.100   0.046     0.038   0.098   0.044   0.099   0.039     0.100   0.047   0.099   0.101   0.039
  16.069    1.245     0.029   0.133   0.052   0.118   0.072     0.036   0.117   0.069   0.118   0.036     0.117   0.072   0.119   0.120   0.037
  16.093    1.411     0.029   0.115   0.054   0.129   0.111     0.037   0.127   0.108   0.129   0.037     0.127   0.111   0.130   0.130   0.037
  16.116    1.540     0.033   0.091   0.067   0.128   0.153     0.041   0.126   0.151   0.129   0.040     0.125   0.153   0.131   0.130   0.041
  16.140    1.592     0.038   0.066   0.088   0.116   0.188     0.047   0.115   0.184   0.119   0.046     0.113   0.186   0.120   0.119   0.048
  16.163    1.548     0.044   0.043   0.109   0.097   0.205     0.052   0.095   0.201   0.100   0.052     0.094   0.202   0.101   0.100   0.054
  16.187    1.420     0.047   0.028   0.124   0.075   0.201     0.055   0.074   0.196   0.079   0.056     0.073   0.197   0.079   0.078   0.058
  16.210    1.243     0.047   0.028   0.125   0.057   0.179     0.055   0.055   0.175   0.060   0.056     0.054   0.175   0.059   0.058   0.058
  16.233    1.063     0.043   0.044   0.110   0.045   0.149     0.051   0.044   0.144   0.048   0.052     0.042   0.145   0.046   0.045   0.054
  16.257    0.923     0.035   0.073   0.081   0.042   0.121     0.043   0.041   0.116   0.044   0.045     0.039   0.116   0.042   0.041   0.045
  16.280    0.851     0.025   0.109   0.044   0.047   0.102     0.033   0.046   0.097   0.047   0.035     0.043   0.097   0.047   0.045   0.034
  16.304    0.855     0.015   0.139   0.008   0.058   0.097     0.024   0.057   0.094   0.057   0.025     0.054   0.093   0.057   0.055   0.023
  16.327    0.921     0.007   0.156  -0.019   0.071   0.105     0.016   0.070   0.103   0.070   0.018     0.068   0.102   0.071   0.068   0.015
  16.351    1.021     0.003   0.154  -0.033   0.084   0.122     0.012   0.082   0.122   0.082   0.014     0.081   0.121   0.083   0.081   0.011
  16.374    1.118     0.004   0.137  -0.031   0.093   0.141     0.013   0.090   0.143   0.090   0.014     0.091   0.141   0.091   0.090   0.012
  16.398    1.182     0.008   0.112  -0.015   0.096   0.154     0.017   0.093   0.157   0.092   0.018     0.095   0.156   0.091   0.092   0.017
  16.421    1.195     0.016   0.091   0.010   0.091   0.158     0.024   0.088   0.161   0.086   0.025     0.092   0.160   0.085   0.086   0.024
  16.445    1.156     0.024   0.080   0.040   0.081   0.148     0.033   0.078   0.151   0.076   0.033     0.082   0.150   0.073   0.075   0.032
  16.468    1.081     0.033   0.085   0.070   0.067   0.127     0.041   0.064   0.129   0.064   0.041     0.069   0.129   0.061   0.062   0.041
  16.491    0.994     0.040   0.101   0.094   0.055   0.098     0.048   0.052   0.099   0.054   0.047     0.057   0.099   0.051   0.052   0.048
  16.515    0.918     0.044   0.122   0.108   0.048   0.065     0.052   0.045   0.067   0.050   0.051     0.050   0.066   0.049   0.048   0.052
  16.538    0.863     0.044   0.140   0.109   0.049   0.035     0.053   0.046   0.037   0.054   0.052     0.052   0.035   0.054   0.052   0.053
  16.562    0.828     0.039   0.145   0.094   0.057   0.013     0.049   0.054   0.016   0.064   0.048     0.059   0.013   0.064   0.062   0.049
  16.585    0.805     0.032   0.132   0.067   0.068   0.004     0.042   0.065   0.008   0.076   0.041     0.071   0.004   0.077   0.075   0.043
  16.609    0.787     0.023   0.102   0.036   0.078   0.010     0.034   0.075   0.014   0.086   0.032     0.080   0.009   0.087   0.086   0.034
  16.632    0.772     0.016   0.060   0.010   0.082   0.030     0.026   0.079   0.033   0.090   0.025     0.084   0.027   0.091   0.091   0.027
  16.656    0.766     0.013   0.014   0.001   0.077   0.058     0.023   0.076   0.060   0.087   0.022     0.079   0.055   0.088   0.088   0.024
  16.679    0.778     0.017  -0.023   0.014   0.066   0.088     0.026   0.065   0.089   0.077   0.026     0.067   0.084   0.078   0.078   0.026
  16.703    0.811     0.026  -0.041   0.047   0.050   0.112     0.035   0.050   0.112   0.063   0.035     0.051   0.108   0.064   0.063   0.035
  16.726    0.858     0.038  -0.033   0.092   0.035   0.124     0.047   0.035   0.123   0.049   0.048     0.035   0.119   0.049   0.048   0.047
  16.750    0.905     0.050   0.000   0.135   0.023   0.122     0.059   0.024   0.121   0.038   0.060     0.023   0.118   0.037   0.036   0.059
  16.773    0.935     0.057   0.052   0.160   0.018   0.108     0.066   0.019   0.108   0.032   0.068     0.016   0.105   0.031   0.029   0.067
  16.796    0.938     0.057   0.109   0.158   0.019   0.090     0.066   0.020   0.090   0.032   0.068     0.016   0.087   0.030   0.028   0.067
  16.820    0.915     0.049   0.156   0.129   0.026   0.073     0.058   0.028   0.074   0.037   0.060     0.022   0.073   0.036   0.033   0.060
  16.843    0.877     0.036   0.181   0.082   0.037   0.065     0.046   0.039   0.066   0.047   0.048     0.032   0.066   0.045   0.041   0.047
  16.867    0.842     0.022   0.177   0.032   0.049   0.067     0.032   0.051   0.069   0.057   0.034     0.044   0.070   0.055   0.052   0.033
  16.890    0.823     0.011   0.147  -0.006   0.058   0.079     0.022   0.060   0.080   0.066   0.023     0.054   0.083   0.064   0.061   0.022
  16.914    0.827     0.007   0.097  -0.021   0.062   0.097     0.018   0.064   0.098   0.070   0.018     0.059   0.102   0.068   0.067   0.018
  16.937    0.848     0.010   0.043  -0.012   0.061   0.118     0.020   0.063   0.118   0.070   0.020     0.059   0.122   0.067   0.068   0.020
  16.961    0.874     0.018  -0.004   0.015   0.055   0.134     0.027   0.057   0.134   0.066   0.027     0.054   0.138   0.062   0.066   0.027
  16.984    0.891     0.027  -0.034   0.048   0.046   0.141     0.036   0.048   0.140   0.060   0.036     0.046   0.144   0.057   0.062   0.035
  17.008    0.891     0.034  -0.047   0.076   0.041   0.134     0.044   0.043   0.133   0.057   0.043     0.041   0.135   0.054   0.060   0.043
  17.031    0.877     0.039  -0.045   0.093   0.042   0.111     0.049   0.044   0.110   0.061   0.049     0.043   0.112   0.058   0.064   0.048
  17.054    0.863     0.041  -0.035   0.099   0.052   0.077     0.051   0.055   0.075   0.073   0.051     0.054   0.076   0.070   0.076   0.050
  17.078    0.868     0.041  -0.023   0.099   0.070   0.037     0.051   0.074   0.035   0.091   0.051     0.073   0.036   0.089   0.094   0.050
  17.101    0.903     0.039  -0.014   0.094   0.094   0.004     0.050   0.097   0.001   0.113   0.050     0.097   0.002   0.111   0.115   0.049
  17.125    0.969     0.037  -0.007   0.088   0.116  -0.012     0.048   0.120  -0.016   0.133   0.048     0.119  -0.016   0.130   0.134   0.047
  17.148    1.054     0.035  -0.001   0.079   0.132  -0.007     0.046   0.135  -0.011   0.145   0.045     0.135  -0.011   0.143   0.146   0.044
  17.172    1.133     0.032   0.009   0.068   0.137   0.017     0.042   0.140   0.014   0.147   0.041     0.139   0.014   0.145   0.147   0.041
  17.195    1.183     0.029   0.026   0.058   0.131   0.050     0.038   0.133   0.048   0.139   0.037     0.132   0.048   0.137   0.139   0.038
  17.219    1.190     0.027   0.051   0.052   0.115   0.080     0.036   0.117   0.080   0.123   0.034     0.116   0.079   0.121   0.122   0.036
  17.242    1.152     0.028   0.085   0.055   0.094   0.095     0.036   0.096   0.098   0.102   0.034     0.095   0.096   0.102   0.100   0.037
  17.266    1.084     0.031   0.125   0.066   0.072   0.093     0.038   0.073   0.098   0.081   0.037     0.072   0.095   0.082   0.080   0.040
  17.289    1.007     0.035   0.166   0.083   0.054   0.076     0.042   0.054   0.083   0.065   0.042     0.054   0.079   0.067   0.064   0.044
  17.313    0.943     0.039   0.201   0.095   0.042   0.057     0.046   0.042   0.064   0.055   0.045     0.041   0.059   0.057   0.054   0.047
  17.336    0.909     0.039   0.225   0.096   0.038   0.044     0.047   0.037   0.050   0.052   0.046     0.037   0.044   0.055   0.052   0.048
  17.359    0.911     0.035   0.232   0.081   0.042   0.044     0.044   0.041   0.050   0.057   0.043     0.040   0.043   0.059   0.057   0.044
  17.383    0.949     0.028   0.222   0.056   0.051   0.060     0.038   0.050   0.064   0.066   0.037     0.049   0.056   0.067   0.067   0.037
