 Substance:BZO200d       2023/12/04 18:03:23                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: F(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.774   -0.948    -0.135   0.050  -0.315  -0.010   0.052    -0.188   0.003  -0.046   0.004  -0.194     0.018   0.018  -0.001   0.014  -0.216
   0.798   -0.912    -0.135   0.039  -0.311  -0.003   0.075    -0.185   0.008  -0.055   0.005  -0.197     0.014   0.012   0.018   0.011  -0.207
   0.821   -0.883    -0.133   0.021  -0.303   0.003   0.087    -0.183   0.012  -0.065   0.001  -0.198     0.018   0.005   0.038   0.009  -0.196
   0.845   -0.876    -0.130   0.003  -0.292   0.010   0.083    -0.184   0.011  -0.074  -0.006  -0.197     0.027  -0.001   0.053   0.008  -0.187
   0.868   -0.902    -0.128  -0.012  -0.280   0.014   0.063    -0.188   0.003  -0.080  -0.015  -0.195     0.035  -0.004   0.059   0.008  -0.183
   0.891   -0.958    -0.128  -0.021  -0.269   0.017   0.034    -0.193  -0.011  -0.082  -0.023  -0.192     0.036  -0.005   0.056   0.009  -0.186
   0.915   -1.030    -0.129  -0.027  -0.262   0.017   0.004    -0.197  -0.027  -0.081  -0.029  -0.188     0.028  -0.002   0.044   0.011  -0.191
   0.938   -1.101    -0.132  -0.030  -0.264   0.013  -0.020    -0.198  -0.042  -0.078  -0.032  -0.184     0.015   0.004   0.029   0.013  -0.195
   0.962   -1.155    -0.135  -0.031  -0.274   0.007  -0.034    -0.197  -0.048  -0.074  -0.033  -0.180     0.001   0.009   0.014   0.016  -0.197
   0.985   -1.189    -0.138  -0.029  -0.290  -0.000  -0.037    -0.195  -0.044  -0.068  -0.035  -0.178    -0.010   0.010   0.003   0.019  -0.196
   1.009   -1.204    -0.140  -0.025  -0.308  -0.008  -0.033    -0.194  -0.031  -0.059  -0.037  -0.179    -0.016   0.006  -0.005   0.020  -0.195
   1.032   -1.207    -0.143  -0.021  -0.321  -0.014  -0.025    -0.194  -0.011  -0.048  -0.041  -0.182    -0.017  -0.001  -0.013   0.018  -0.195
   1.056   -1.203    -0.145  -0.021  -0.322  -0.018  -0.016    -0.195   0.007  -0.032  -0.046  -0.186    -0.016  -0.008  -0.022   0.013  -0.196
   1.079   -1.196    -0.148  -0.024  -0.312  -0.019  -0.009    -0.196   0.021  -0.016  -0.050  -0.190    -0.017  -0.012  -0.031   0.004  -0.198
   1.103   -1.184    -0.152  -0.026  -0.294  -0.018  -0.004    -0.198   0.027  -0.001  -0.049  -0.193    -0.020  -0.010  -0.039  -0.006  -0.200
   1.126   -1.167    -0.159  -0.024  -0.278  -0.014  -0.003    -0.201   0.028   0.007  -0.042  -0.196    -0.025  -0.006  -0.041  -0.013  -0.201
   1.149   -1.141    -0.166  -0.015  -0.269  -0.007  -0.005    -0.204   0.027   0.006  -0.028  -0.199    -0.029  -0.001  -0.034  -0.015  -0.201
   1.173   -1.106    -0.172  -0.005  -0.269  -0.001  -0.006    -0.205   0.025   0.001  -0.011  -0.200    -0.033   0.004  -0.022  -0.013  -0.198
   1.196   -1.061    -0.170  -0.003  -0.270   0.002  -0.004    -0.201   0.022  -0.004   0.004  -0.195    -0.037   0.007  -0.009  -0.010  -0.191
   1.220   -1.009    -0.161  -0.013  -0.268   0.002   0.004    -0.192   0.017  -0.005   0.013  -0.185    -0.042   0.011  -0.000  -0.009  -0.180
   1.243   -0.962    -0.149  -0.026  -0.263  -0.001   0.013    -0.180   0.011  -0.001   0.017  -0.176    -0.045   0.014   0.004  -0.009  -0.169
   1.267   -0.936    -0.141  -0.026  -0.266   0.000   0.018    -0.177   0.006   0.002   0.021  -0.175    -0.042   0.009   0.009  -0.007  -0.166
   1.290   -0.941    -0.144   0.002  -0.284   0.009   0.014    -0.188   0.007  -0.002   0.030  -0.190    -0.029  -0.007   0.018   0.000  -0.176
   1.314   -0.967    -0.158   0.046  -0.312   0.023   0.007    -0.209   0.011  -0.011   0.042  -0.215    -0.008  -0.030   0.030   0.011  -0.195
   1.337   -0.978    -0.165   0.062  -0.321   0.031   0.011    -0.220   0.010  -0.011   0.045  -0.228     0.009  -0.044   0.032   0.014  -0.203
   1.361   -0.916    -0.141  -0.018  -0.264   0.015   0.049    -0.188  -0.014   0.021   0.018  -0.195     0.001  -0.024   0.003  -0.012  -0.167
   1.384   -0.726    -0.061  -0.254  -0.097  -0.043   0.143    -0.083  -0.077   0.105  -0.056  -0.087    -0.050   0.055  -0.074  -0.086  -0.061
   1.408   -0.395     0.080  -0.656   0.189  -0.147   0.294     0.101  -0.183   0.248  -0.183   0.104    -0.151   0.201  -0.205  -0.210   0.124
   1.431    0.033     0.262  -1.165   0.553  -0.283   0.480     0.337  -0.315   0.430  -0.344   0.349    -0.286   0.394  -0.369  -0.366   0.358
   1.454    0.455     0.440  -1.657   0.907  -0.418   0.655     0.568  -0.443   0.608  -0.502   0.588    -0.421   0.590  -0.527  -0.517   0.584
   1.478    0.751     0.563  -1.987   1.147  -0.514   0.768     0.727  -0.529   0.730  -0.611   0.752    -0.515   0.735  -0.632  -0.619   0.736
   1.501    0.829     0.591  -2.050   1.197  -0.541   0.783     0.764  -0.545   0.758  -0.640   0.788    -0.538   0.787  -0.652  -0.639   0.766
   1.525    0.668     0.517  -1.824   1.041  -0.493   0.694     0.669  -0.487   0.685  -0.580   0.687    -0.484   0.731  -0.581  -0.571   0.664
   1.548    0.324     0.366  -1.384   0.731  -0.385   0.527     0.476  -0.374   0.536  -0.454   0.483    -0.372   0.588  -0.441  -0.437   0.465
   1.572   -0.095     0.185  -0.864   0.360  -0.252   0.333     0.244  -0.241   0.358  -0.299   0.239    -0.237   0.405  -0.276  -0.277   0.228
   1.595   -0.476     0.022  -0.404   0.026  -0.130   0.161     0.036  -0.123   0.200  -0.156   0.019    -0.117   0.231  -0.127  -0.131   0.016
   1.619   -0.747    -0.091  -0.092  -0.206  -0.041   0.041    -0.109  -0.041   0.093  -0.053  -0.132    -0.036   0.102  -0.023  -0.028  -0.130
