 Substance:BZO200d       2023/12/04 18:04:51                     
 Input files: ./data/bzo200d_n0001.dat to ./data/bzo200d_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     450000000 cell pairs, j_rand           5
 Supercell size:          32          32          32
 Unit cell parameter:   4.19393730       4.19393730       4.19393730    
 Atoms/unit_cell:           5
 Atoms  :    Ba      Zr      O1      O2      O3  
 Atom no.        1       2       3       4       5
 Occups:   0.2000  0.2000  0.2000  0.2000  0.2000
 Weights: Neutron          0.5070  0.7160  0.5803  0.5803  0.5803
 Masks	:        1       1       1       1       1
 Smoothing FWHM [Å-1]   9.38349068E-02

 Output: I(Q)
 Partials index        1  1    1  2    2  2    1  3    2  3      3  3    1  4    2  4    3  4    4  4      1  5    2  5    3  5    4  5    5  5
   Q [A-1]   Total       Ba_Ba   Ba_Zr   Zr_Zr   Ba_O1   Zr_O1     O1_O1   Ba_O2   Zr_O2   O1_O2   O2_O2     Ba_O3   Zr_O3   O1_O3   O2_O3   O3_O3
   0.798    0.099     0.011   0.038  -0.019  -0.003   0.074     0.007   0.008  -0.054   0.005  -0.005     0.013   0.012   0.018   0.011  -0.015
   0.821    0.128     0.013   0.021  -0.012   0.003   0.086     0.009   0.012  -0.064   0.001  -0.006     0.018   0.005   0.037   0.009  -0.004
   0.845    0.135     0.016   0.003  -0.001   0.009   0.082     0.008   0.010  -0.073  -0.006  -0.005     0.027  -0.001   0.052   0.008   0.005
   0.868    0.109     0.018  -0.011   0.011   0.014   0.063     0.004   0.003  -0.079  -0.015  -0.003     0.034  -0.004   0.058   0.008   0.008
   0.891    0.054     0.018  -0.021   0.022   0.017   0.034    -0.001  -0.011  -0.081  -0.023  -0.000     0.035  -0.005   0.055   0.009   0.006
   0.915   -0.017     0.016  -0.027   0.028   0.017   0.004    -0.005  -0.027  -0.080  -0.029   0.004     0.028  -0.002   0.044   0.010   0.001
   0.938   -0.086     0.014  -0.030   0.027   0.013  -0.020    -0.006  -0.041  -0.077  -0.032   0.008     0.015   0.004   0.029   0.013  -0.003
   0.962   -0.141     0.011  -0.031   0.017   0.007  -0.034    -0.005  -0.048  -0.073  -0.033   0.012     0.001   0.009   0.014   0.016  -0.005
   0.985   -0.174     0.008  -0.029   0.001  -0.000  -0.037    -0.003  -0.044  -0.067  -0.034   0.013    -0.010   0.010   0.003   0.019  -0.004
   1.009   -0.189     0.006  -0.025  -0.017  -0.008  -0.033    -0.002  -0.030  -0.059  -0.036   0.013    -0.015   0.006  -0.005   0.020  -0.003
   1.032   -0.191     0.003  -0.021  -0.030  -0.014  -0.025    -0.002  -0.011  -0.047  -0.040   0.010    -0.016  -0.001  -0.013   0.018  -0.003
   1.056   -0.188     0.001  -0.020  -0.031  -0.018  -0.016    -0.003   0.007  -0.032  -0.045   0.006    -0.016  -0.008  -0.021   0.013  -0.004
   1.079   -0.181    -0.002  -0.023  -0.020  -0.019  -0.008    -0.004   0.020  -0.015  -0.049   0.002    -0.016  -0.011  -0.031   0.004  -0.006
   1.103   -0.169    -0.006  -0.026  -0.003  -0.018  -0.004    -0.006   0.026  -0.001  -0.048  -0.001    -0.020  -0.010  -0.039  -0.006  -0.008
   1.126   -0.152    -0.013  -0.024   0.013  -0.014  -0.003    -0.009   0.027   0.006  -0.041  -0.005    -0.024  -0.005  -0.040  -0.013  -0.009
   1.149   -0.127    -0.020  -0.015   0.021  -0.007  -0.005    -0.012   0.026   0.006  -0.028  -0.007    -0.029  -0.001  -0.034  -0.015  -0.009
   1.173   -0.092    -0.025  -0.005   0.022  -0.001  -0.006    -0.013   0.025   0.001  -0.011  -0.008    -0.033   0.004  -0.022  -0.013  -0.006
   1.196   -0.047    -0.024  -0.003   0.021   0.002  -0.004    -0.009   0.022  -0.004   0.004  -0.003    -0.037   0.007  -0.009  -0.010   0.001
   1.220    0.004    -0.015  -0.013   0.023   0.002   0.003     0.001   0.017  -0.005   0.013   0.006    -0.042   0.011  -0.000  -0.009   0.012
   1.243    0.050    -0.003  -0.026   0.027  -0.001   0.013     0.012   0.010  -0.001   0.017   0.016    -0.045   0.013   0.004  -0.009   0.023
   1.267    0.076     0.005  -0.025   0.025   0.000   0.018     0.015   0.006   0.002   0.021   0.016    -0.042   0.009   0.009  -0.007   0.026
   1.290    0.071     0.002   0.002   0.007   0.009   0.014     0.004   0.007  -0.002   0.029   0.002    -0.029  -0.007   0.018   0.000   0.016
   1.314    0.045    -0.011   0.045  -0.020   0.023   0.007    -0.017   0.011  -0.010   0.041  -0.023    -0.008  -0.030   0.029   0.011  -0.003
   1.337    0.034    -0.019   0.061  -0.029   0.031   0.011    -0.027   0.010  -0.011   0.044  -0.036     0.009  -0.043   0.031   0.014  -0.011
   1.361    0.096     0.005  -0.018   0.027   0.015   0.049     0.004  -0.014   0.020   0.018  -0.004     0.001  -0.023   0.003  -0.012   0.024
   1.384    0.283     0.084  -0.250   0.191  -0.042   0.141     0.107  -0.076   0.104  -0.055   0.103    -0.050   0.055  -0.073  -0.084   0.130
   1.408    0.610     0.223  -0.648   0.474  -0.145   0.290     0.289  -0.180   0.245  -0.180   0.292    -0.149   0.198  -0.203  -0.207   0.311
   1.431    1.032     0.403  -1.150   0.833  -0.279   0.473     0.522  -0.311   0.424  -0.340   0.534    -0.282   0.389  -0.365  -0.361   0.542
