 Substance:Al_U       2023/12/12 09:50:39                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Unit             1.0000  1.0000
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   2.740    1.938     1.839   0.099   0.000
   2.760    1.963     1.834   0.129   0.000
   2.780    1.977     1.820   0.157   0.000
   2.800    1.976     1.795   0.182   0.000
   2.820    1.972     1.764   0.208   0.000
   2.840    1.977     1.737   0.240   0.000
   2.860    1.987     1.713   0.274   0.000
   2.880    1.992     1.684   0.308   0.000
   2.900    1.985     1.643   0.341   0.001
   2.920    1.973     1.593   0.379   0.002
   2.940    1.966     1.538   0.423   0.004
   2.960    1.964     1.486   0.469   0.009
   2.980    1.963     1.437   0.511   0.015
   3.000    1.959     1.390   0.548   0.022
   3.020    1.958     1.344   0.587   0.027
   3.040    1.963     1.300   0.632   0.031
   3.060    1.965     1.257   0.678   0.031
   3.080    1.955     1.213   0.713   0.030
   3.100    1.925     1.169   0.728   0.028
   3.120    1.878     1.126   0.727   0.026
   3.140    1.821     1.084   0.712   0.025
   3.160    1.757     1.043   0.690   0.024
   3.180    1.685     1.001   0.660   0.023
   3.200    1.602     0.960   0.619   0.022
   3.220    1.510     0.921   0.567   0.021
   3.240    1.410     0.885   0.505   0.020
   3.260    1.312     0.852   0.441   0.019
   3.280    1.222     0.823   0.381   0.018
   3.300    1.143     0.796   0.330   0.016
   3.320    1.070     0.772   0.283   0.015
   3.340    1.001     0.749   0.238   0.014
   3.360    0.935     0.726   0.196   0.013
   3.380    0.876     0.703   0.161   0.012
   3.400    0.828     0.681   0.136   0.011
   3.420    0.792     0.661   0.120   0.010
   3.440    0.763     0.642   0.111   0.010
   3.460    0.738     0.624   0.106   0.009
   3.480    0.713     0.605   0.100   0.008
   3.500    0.688     0.587   0.094   0.006
   3.520    0.662     0.569   0.088   0.005
   3.540    0.636     0.552   0.081   0.004
   3.560    0.612     0.536   0.073   0.003
   3.580    0.591     0.524   0.066   0.002
   3.600    0.575     0.514   0.060   0.001
   3.620    0.563     0.508   0.055   0.000
   3.640    0.555     0.504   0.051   0.000
   3.660    0.548     0.501   0.047   0.000
   3.680    0.541     0.498   0.044   0.000
   3.700    0.536     0.494   0.041   0.000
   3.720    0.531     0.492   0.039   0.000
   3.740    0.529     0.492   0.037   0.000
   3.760    0.529     0.494   0.035   0.000
   3.780    0.530     0.497   0.034   0.000
   3.800    0.531     0.499   0.033   0.000
   3.820    0.531     0.499   0.032   0.000
   3.840    0.530     0.498   0.032   0.000
   3.860    0.528     0.496   0.032   0.000
   3.880    0.527     0.495   0.032   0.000
   3.900    0.528     0.496   0.032   0.000
   3.920    0.531     0.500   0.031   0.000
   3.940    0.536     0.505   0.031   0.000
   3.960    0.544     0.512   0.031   0.000
   3.980    0.551     0.520   0.031   0.000
   4.000    0.558     0.527   0.031   0.000
   4.020    0.564     0.533   0.031   0.000
   4.040    0.570     0.539   0.031   0.000
   4.060    0.577     0.547   0.030   0.000
   4.080    0.584     0.554   0.030   0.000
   4.100    0.591     0.562   0.029   0.000
   4.120    0.599     0.570   0.029   0.000
   4.140    0.607     0.579   0.028   0.000
   4.160    0.617     0.590   0.027   0.000
   4.180    0.629     0.602   0.027   0.000
   4.200    0.645     0.617   0.028   0.000
   4.220    0.662     0.633   0.029   0.000
   4.240    0.679     0.649   0.031   0.000
   4.260    0.696     0.663   0.033   0.000
   4.280    0.711     0.677   0.034   0.000
   4.300    0.727     0.692   0.035   0.000
   4.320    0.744     0.707   0.036   0.000
   4.340    0.763     0.725   0.038   0.000
   4.360    0.784     0.743   0.040   0.000
   4.380    0.804     0.762   0.043   0.000
   4.400    0.823     0.778   0.045   0.000
   4.420    0.842     0.794   0.048   0.000
   4.440    0.861     0.810   0.051   0.000
   4.460    0.880     0.826   0.055   0.000
   4.480    0.900     0.842   0.058   0.000
   4.500    0.919     0.858   0.061   0.000
   4.520    0.940     0.875   0.064   0.000
   4.540    0.961     0.893   0.068   0.000
   4.560    0.983     0.910   0.073   0.000
   4.580    1.004     0.925   0.079   0.000
   4.600    1.025     0.940   0.085   0.000
   4.620    1.048     0.957   0.091   0.000
   4.640    1.074     0.975   0.099   0.000
