 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
   5.716    0.594     0.333   0.220   0.041
   5.760    0.626     0.321   0.238   0.066
   5.803    0.681     0.311   0.265   0.105
   5.847    0.730     0.307   0.296   0.128
   5.890    0.750     0.303   0.311   0.137
   5.934    0.817     0.294   0.341   0.182
   5.978    0.903     0.286   0.394   0.224
   6.021    0.931     0.283   0.419   0.228
   6.065    0.992     0.281   0.449   0.262
   6.109    1.091     0.276   0.497   0.317
   6.152    1.121     0.275   0.529   0.318
   6.196    1.156     0.275   0.549   0.332
   6.240    1.240     0.271   0.595   0.373
   6.283    1.288     0.269   0.647   0.372
   6.327    1.344     0.268   0.677   0.398
   6.370    1.366     0.270   0.675   0.421
   6.414    1.330     0.274   0.691   0.365
   6.458    1.333     0.274   0.738   0.321
   6.501    1.369     0.271   0.745   0.352
   6.545    1.334     0.270   0.722   0.342
   6.589    1.220     0.273   0.703   0.244
   6.632    1.153     0.269   0.694   0.190
   6.676    1.110     0.263   0.682   0.165
   6.720    1.094     0.269   0.665   0.160
   6.763    1.090     0.274   0.651   0.165
   6.807    1.035     0.271   0.633   0.130
   6.850    1.017     0.272   0.618   0.127
   6.894    1.018     0.268   0.583   0.167
   6.938    1.003     0.266   0.555   0.182
   6.981    1.004     0.273   0.544   0.187
   7.025    1.007     0.273   0.519   0.215
   7.069    0.982     0.269   0.507   0.206
   7.112    0.937     0.273   0.490   0.174
   7.156    0.941     0.273   0.452   0.216
   7.199    0.951     0.272   0.427   0.252
   7.243    0.912     0.276   0.402   0.234
   7.287    0.876     0.276   0.389   0.211
   7.330    0.867     0.276   0.385   0.206
   7.374    0.850     0.277   0.367   0.206
   7.418    0.809     0.277   0.358   0.174
   7.461    0.839     0.277   0.361   0.201
   7.505    0.875     0.278   0.365   0.232
   7.549    0.829     0.279   0.358   0.193
   7.592    0.797     0.276   0.354   0.167
   7.636    0.818     0.275   0.385   0.157
   7.679    0.807     0.277   0.397   0.133
   7.723    0.798     0.279   0.387   0.133
   7.767    0.868     0.278   0.403   0.188
   7.810    0.885     0.277   0.413   0.196
   7.854    0.867     0.278   0.428   0.161
   7.898    0.917     0.278   0.454   0.185
   7.941    0.967     0.279   0.468   0.220
   7.985    0.983     0.280   0.477   0.225
   8.029    1.018     0.276   0.480   0.261
   8.072    1.044     0.270   0.501   0.273
   8.116    1.066     0.270   0.516   0.280
   8.159    1.096     0.271   0.511   0.314
   8.203    1.100     0.268   0.525   0.307
   8.247    1.146     0.264   0.552   0.329
   8.290    1.138     0.263   0.550   0.325
   8.334    1.099     0.263   0.548   0.289
   8.378    1.153     0.265   0.558   0.330
   8.421    1.170     0.265   0.556   0.349
   8.465    1.141     0.258   0.587   0.297
   8.508    1.142     0.254   0.606   0.282
   8.552    1.139     0.255   0.574   0.310
   8.596    1.099     0.251   0.571   0.277
   8.639    1.102     0.250   0.592   0.260
   8.683    1.098     0.252   0.593   0.254
   8.727    1.037     0.251   0.589   0.196
   8.770    1.050     0.251   0.595   0.204
   8.814    1.089     0.247   0.580   0.262
   8.858    1.057     0.242   0.547   0.268
   8.901    1.025     0.240   0.541   0.244
   8.945    1.048     0.239   0.552   0.257
   8.988    1.058     0.236   0.540   0.281
   9.032    1.044     0.235   0.532   0.277
   9.076    1.034     0.236   0.532   0.266
   9.119    1.026     0.235   0.514   0.278
   9.163    1.010     0.230   0.493   0.287
   9.207    0.974     0.230   0.481   0.263
   9.250    0.975     0.233   0.469   0.273
   9.294    0.969     0.230   0.458   0.281
   9.338    0.905     0.226   0.457   0.222
   9.381    0.889     0.226   0.453   0.210
   9.425    0.914     0.228   0.434   0.252
   9.468    0.893     0.226   0.429   0.238
   9.512    0.846     0.226   0.437   0.184
   9.556    0.849     0.226   0.433   0.191
   9.599    0.883     0.225   0.427   0.231
   9.643    0.861     0.224   0.422   0.215
   9.687    0.850     0.222   0.425   0.204
   9.730    0.878     0.221   0.427   0.230
   9.774    0.873     0.224   0.430   0.219
   9.817    0.883     0.222   0.437   0.224
   9.861    0.912     0.220   0.446   0.247
   9.905    0.915     0.221   0.463   0.230
   9.948    0.943     0.222   0.466   0.255
   9.992    0.973     0.221   0.470   0.282
  10.036    0.987     0.221   0.484   0.282
  10.079    1.031     0.219   0.495   0.317
  10.123    1.046     0.219   0.494   0.334
  10.167    1.024     0.219   0.492   0.314
  10.210    1.054     0.220   0.518   0.316
  10.254    1.108     0.219   0.537   0.352
  10.297    1.107     0.218   0.531   0.359
  10.341    1.109     0.218   0.536   0.355
  10.385    1.126     0.220   0.542   0.364
  10.428    1.109     0.220   0.541   0.348
  10.472    1.092     0.217   0.552   0.323
  10.516    1.082     0.217   0.557   0.309
  10.559    1.080     0.217   0.545   0.318
  10.603    1.070     0.218   0.545   0.307
  10.647    1.037     0.219   0.552   0.266
  10.690    1.042     0.215   0.548   0.278
  10.734    1.059     0.214   0.545   0.300
  10.777    1.026     0.217   0.539   0.270
  10.821    0.997     0.216   0.532   0.249
  10.865    1.022     0.215   0.530   0.277
  10.908    1.041     0.213   0.525   0.302
  10.952    1.012     0.213   0.513   0.286
