 Substance:Al_U       2023/12/12 09:52:08                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: S(Q)
 Partials index        1  1    1  2    2  2
   Q [A-1]   Total       Al_Al   Al_U   U_U
  25.525    0.996     0.196   0.490   0.309
  25.569    1.005     0.197   0.493   0.314
  25.613    1.007     0.197   0.496   0.313
  25.656    1.002     0.197   0.496   0.309
  25.700    1.006     0.198   0.496   0.312
  25.744    1.022     0.198   0.497   0.327
  25.787    1.022     0.198   0.496   0.327
  25.831    1.005     0.198   0.494   0.312
  25.875    0.986     0.198   0.489   0.298
  25.918    0.983     0.199   0.490   0.294
  25.962    0.997     0.199   0.497   0.301
  26.005    0.998     0.200   0.495   0.303
  26.049    0.994     0.199   0.491   0.304
  26.093    1.000     0.199   0.490   0.311
  26.136    0.998     0.199   0.494   0.305
  26.180    0.987     0.201   0.500   0.287
  26.224    0.990     0.201   0.496   0.293
  26.267    0.997     0.201   0.490   0.306
  26.311    0.987     0.202   0.494   0.292
  26.354    0.980     0.202   0.498   0.281
  26.398    0.988     0.200   0.497   0.291
  26.442    0.997     0.201   0.498   0.298
  26.485    0.985     0.202   0.496   0.288
  26.529    0.983     0.202   0.493   0.288
  26.573    1.009     0.204   0.495   0.310
  26.616    1.007     0.204   0.493   0.310
  26.660    0.986     0.204   0.491   0.292
  26.704    0.981     0.204   0.492   0.286
  26.747    0.993     0.203   0.495   0.295
  26.791    1.015     0.204   0.495   0.316
  26.834    1.015     0.205   0.496   0.314
  26.878    1.005     0.206   0.500   0.299
  26.922    1.003     0.205   0.499   0.300
  26.965    0.997     0.204   0.494   0.298
  27.009    1.007     0.206   0.495   0.307
  27.053    1.012     0.207   0.496   0.309
  27.096    0.997     0.206   0.494   0.296
  27.140    0.996     0.207   0.496   0.293
  27.184    1.005     0.206   0.499   0.299
  27.227    1.009     0.206   0.499   0.303
  27.271    0.996     0.207   0.496   0.293
  27.314    1.004     0.207   0.494   0.302
  27.358    1.018     0.207   0.493   0.317
  27.402    1.007     0.208   0.495   0.305
  27.445    1.011     0.208   0.497   0.307
  27.489    1.020     0.207   0.496   0.318
  27.533    1.010     0.206   0.499   0.305
  27.576    1.000     0.207   0.503   0.290
  27.620    0.997     0.208   0.497   0.292
  27.663    1.002     0.208   0.493   0.301
  27.707    1.012     0.208   0.497   0.307
  27.751    1.007     0.209   0.497   0.301
  27.794    1.000     0.209   0.493   0.298
  27.838    1.003     0.209   0.491   0.303
  27.882    1.005     0.209   0.494   0.302
  27.925    0.998     0.209   0.498   0.291
  27.969    0.998     0.209   0.499   0.291
  28.013    1.004     0.209   0.498   0.298
  28.056    0.993     0.209   0.494   0.289
  28.100    0.995     0.209   0.493   0.293
  28.143    0.994     0.209   0.495   0.290
  28.187    0.982     0.210   0.498   0.274
  28.231    0.993     0.210   0.498   0.285
  28.274    1.002     0.210   0.493   0.299
  28.318    0.995     0.210   0.495   0.290
  28.362    0.989     0.211   0.498   0.279
  28.405    0.990     0.211   0.497   0.283
  28.449    0.997     0.211   0.501   0.286
  28.493    0.996     0.211   0.501   0.284
  28.536    0.988     0.211   0.493   0.284
  28.580    0.990     0.211   0.494   0.285
  28.623    0.994     0.212   0.497   0.285
  28.667    0.991     0.212   0.495   0.284
  28.711    0.998     0.211   0.499   0.288
  28.754    0.994     0.211   0.501   0.282
  28.798    0.990     0.213   0.497   0.279
  28.842    1.004     0.213   0.497   0.294
  28.885    1.003     0.213   0.496   0.294
  28.929    0.997     0.213   0.498   0.286
  28.972    0.996     0.213   0.500   0.283
  29.016    0.995     0.214   0.492   0.289
  29.060    1.003     0.214   0.493   0.296
  29.103    1.015     0.214   0.498   0.303
  29.147    1.018     0.214   0.498   0.307
  29.191    1.009     0.214   0.499   0.296
  29.234    0.999     0.214   0.500   0.286
  29.278    0.990     0.215   0.494   0.280
  29.322    0.999     0.215   0.495   0.288
  29.365    1.014     0.216   0.502   0.296
  29.409    1.014     0.216   0.503   0.296
  29.452    1.011     0.216   0.498   0.297
  29.496    1.000     0.216   0.493   0.291
  29.540    1.000     0.217   0.496   0.288
  29.583    1.006     0.216   0.502   0.288
  29.627    1.006     0.216   0.500   0.290
  29.671    1.012     0.217   0.496   0.299
  29.714    1.008     0.218   0.495   0.295
  29.758    0.996     0.217   0.495   0.284
  29.801    0.994     0.217   0.499   0.278
  29.845    1.003     0.218   0.500   0.285
  29.889    1.008     0.218   0.493   0.297
  29.932    1.005     0.218   0.495   0.292
  29.976    1.003     0.219   0.501   0.283
  30.020    0.996     0.219   0.498   0.279
  30.063    0.997     0.218   0.496   0.284
  30.107    1.003     0.218   0.494   0.290
  30.151    1.000     0.219   0.494   0.287
  30.194    0.996     0.219   0.500   0.277
  30.238    0.993     0.219   0.499   0.276
  30.281    0.999     0.220   0.498   0.282
  30.325    0.995     0.220   0.502   0.272
  30.369    0.993     0.219   0.500   0.274
  30.412    0.995     0.219   0.495   0.281
  30.456    0.981     0.219   0.495   0.267
  30.500    0.993     0.220   0.498   0.276
  30.543    1.011     0.220   0.500   0.291
  30.587    0.997     0.220   0.501   0.277
  30.631    0.990     0.220   0.500   0.270
  30.674    0.994     0.220   0.501   0.273
  30.718    0.988     0.219   0.498   0.271
  30.761    0.994     0.220   0.494   0.280
  30.805    0.999     0.221   0.496   0.282
  30.849    0.998     0.221   0.500   0.278
  30.892    1.008     0.221   0.502   0.286
  30.936    1.006     0.221   0.501   0.285
  30.980    0.995     0.221   0.498   0.276
  31.023    0.995     0.221   0.496   0.277
  31.067    1.004     0.221   0.497   0.287
  31.110    1.003     0.221   0.500   0.282
  31.154    0.998     0.222   0.504   0.273
  31.198    1.002     0.222   0.503   0.277
  31.241    0.997     0.222   0.497   0.278
  31.285    0.997     0.222   0.495   0.280
  31.329    1.002     0.221   0.495   0.286
  31.372    1.008     0.222   0.496   0.290
  31.416    1.011     0.222   0.497   0.292
  31.460    1.008     0.222   0.497   0.288
  31.503    1.009     0.223   0.501   0.285
  31.547    1.002     0.223   0.498   0.281
  31.590    1.002     0.223   0.496   0.283
  31.634    1.000     0.223   0.498   0.279
  31.678    1.003     0.223   0.499   0.281
  31.721    1.007     0.223   0.501   0.282
  31.765    0.996     0.223   0.499   0.273
  31.809    1.003     0.224   0.497   0.282
  31.852    1.007     0.224   0.498   0.285
  31.896    1.004     0.224   0.501   0.279
  31.940    1.006     0.224   0.502   0.280
  31.983    0.996     0.224   0.496   0.276
  32.027    1.002     0.225   0.495   0.283
  32.070    1.005     0.225   0.496   0.283
  32.114    0.989     0.225   0.495   0.269
  32.158    0.993     0.225   0.497   0.271
  32.201    0.995     0.226   0.498   0.272
  32.245    0.997     0.226   0.500   0.272
  32.289    1.002     0.226   0.500   0.276
  32.332    0.995     0.226   0.500   0.269
  32.376    0.995     0.226   0.501   0.267
  32.419    1.000     0.226   0.500   0.274
  32.463    0.996     0.226   0.497   0.273
  32.507    0.995     0.227   0.499   0.268
  32.550    0.996     0.227   0.500   0.269
  32.594    0.997     0.228   0.500   0.270
  32.638    0.999     0.227   0.500   0.272
  32.681    0.996     0.227   0.500   0.269
  32.725    0.994     0.227   0.502   0.265
  32.769    0.995     0.228   0.500   0.267
  32.812    0.999     0.228   0.500   0.272
  32.856    1.004     0.227   0.501   0.276
  32.899    1.009     0.227   0.501   0.281
  32.943    1.007     0.227   0.502   0.278
  32.987    1.000     0.228   0.500   0.273
  33.030    0.995     0.228   0.497   0.271
  33.074    1.000     0.228   0.498   0.274
  33.118    1.006     0.229   0.498   0.280
  33.161    1.003     0.229   0.499   0.275
  33.205    0.997     0.228   0.501   0.267
  33.249    0.990     0.228   0.497   0.265
  33.292    0.994     0.228   0.496   0.269
  33.336    1.006     0.228   0.503   0.275
  33.379    1.009     0.229   0.501   0.280
  33.423    1.004     0.229   0.497   0.278
  33.467    0.999     0.228   0.498   0.273
  33.510    0.996     0.229   0.496   0.271
  33.554    1.002     0.230   0.498   0.274
  33.598    1.005     0.229   0.500   0.276
  33.641    0.993     0.229   0.497   0.267
  33.685    0.997     0.229   0.496   0.272
  33.728    1.006     0.229   0.498   0.278
  33.772    1.009     0.229   0.499   0.280
  33.816    1.011     0.229   0.499   0.283
  33.859    1.006     0.229   0.500   0.276
  33.903    1.002     0.229   0.499   0.274
  33.947    1.002     0.229   0.498   0.275
  33.990    1.008     0.229   0.497   0.282
  34.034    1.012     0.229   0.497   0.286
  34.078    1.001     0.229   0.499   0.272
  34.121    0.993     0.230   0.499   0.265
  34.165    0.997     0.230   0.501   0.266
  34.208    0.999     0.231   0.500   0.268
  34.252    0.995     0.230   0.497   0.268
  34.296    0.990     0.230   0.499   0.261
  34.339    0.989     0.230   0.503   0.256
  34.383    0.996     0.231   0.502   0.263
  34.427    0.999     0.231   0.500   0.268
  34.470    0.996     0.231   0.502   0.264
  34.514    0.998     0.231   0.499   0.267
  34.558    1.001     0.231   0.498   0.272
  34.601    1.003     0.231   0.501   0.271
  34.645    1.005     0.231   0.503   0.271
  34.688    1.001     0.232   0.503   0.267
  34.732    0.989     0.232   0.500   0.256
  34.776    0.988     0.231   0.498   0.259
  34.819    0.995     0.231   0.496   0.268
  34.863    1.000     0.232   0.497   0.271
  34.907    1.002     0.232   0.500   0.270
  34.950    1.005     0.232   0.501   0.272
  34.994    1.006     0.233   0.501   0.273
  35.037    0.997     0.233   0.501   0.263
  35.081    0.992     0.233   0.500   0.259
  35.125    0.999     0.233   0.499   0.267
  35.168    1.002     0.233   0.500   0.269
  35.212    0.998     0.233   0.500   0.266
  35.256    0.999     0.233   0.498   0.268
  35.299    1.004     0.233   0.499   0.271
  35.343    1.003     0.233   0.499   0.271
  35.387    0.989     0.233   0.497   0.259
  35.430    0.992     0.233   0.499   0.259
  35.474    1.007     0.233   0.500   0.273
  35.517    1.006     0.234   0.498   0.273
  35.561    1.010     0.234   0.497   0.279
  35.605    1.014     0.234   0.499   0.281
  35.648    1.003     0.234   0.499   0.270
  35.692    0.999     0.233   0.499   0.267
  35.736    0.997     0.233   0.500   0.263
  35.779    1.003     0.234   0.501   0.267
  35.823    1.013     0.234   0.499   0.281
  35.867    1.006     0.234   0.499   0.273
  35.910    0.997     0.234   0.501   0.261
  35.954    0.999     0.234   0.499   0.267
  35.997    1.001     0.234   0.495   0.272
  36.041    0.998     0.234   0.499   0.265
  36.085    1.000     0.234   0.502   0.265
  36.128    0.999     0.234   0.498   0.267
  36.172    1.003     0.234   0.497   0.272
  36.216    1.013     0.235   0.500   0.278
  36.259    1.003     0.235   0.498   0.271
  36.303    0.993     0.235   0.496   0.262
  36.346    0.999     0.235   0.501   0.263
  36.390    1.005     0.234   0.504   0.267
  36.434    1.002     0.234   0.502   0.265
  36.477    1.000     0.234   0.501   0.264
  36.521    0.998     0.235   0.500   0.263
  36.565    0.985     0.235   0.499   0.251
  36.608    0.987     0.234   0.501   0.252
  36.652    1.004     0.234   0.500   0.271
  36.696    1.006     0.234   0.499   0.273
  36.739    0.995     0.235   0.500   0.260
  36.783    0.990     0.235   0.499   0.257
  36.826    0.996     0.235   0.501   0.260
  36.870    0.994     0.235   0.501   0.258
  36.914    0.997     0.235   0.500   0.262
  36.957    0.999     0.235   0.502   0.262
  37.001    0.997     0.235   0.499   0.262
  37.045    1.003     0.235   0.497   0.271
  37.088    1.001     0.234   0.501   0.265
  37.132    0.995     0.235   0.502   0.258
  37.176    0.997     0.236   0.500   0.261
  37.219    0.996     0.236   0.498   0.262
  37.263    0.999     0.235   0.498   0.266
  37.306    1.005     0.235   0.501   0.268
  37.350    1.001     0.236   0.502   0.263
  37.394    0.996     0.236   0.497   0.262
  37.437    1.000     0.236   0.498   0.266
  37.481    1.003     0.236   0.501   0.267
  37.525    1.000     0.237   0.500   0.263
  37.568    1.005     0.237   0.501   0.268
  37.612    1.008     0.237   0.500   0.271
  37.655    1.000     0.237   0.495   0.267
  37.699    0.998     0.237   0.497   0.264
  37.743    1.003     0.236   0.501   0.266
  37.786    1.007     0.237   0.501   0.269
  37.830    1.005     0.238   0.500   0.267
  37.874    1.005     0.237   0.498   0.270
  37.917    0.999     0.237   0.496   0.266
  37.961    0.999     0.237   0.498   0.264
  38.005    1.009     0.237   0.500   0.272
  38.048    1.003     0.237   0.499   0.268
  38.092    0.996     0.237   0.497   0.261
  38.135    1.003     0.237   0.499   0.267
  38.179    1.008     0.238   0.499   0.272
  38.223    1.003     0.238   0.502   0.263
  38.266    1.000     0.238   0.505   0.257
  38.310    0.997     0.238   0.501   0.258
  38.354    1.000     0.238   0.500   0.263
  38.397    1.008     0.237   0.500   0.270
  38.441    1.005     0.237   0.499   0.269
  38.485    0.995     0.237   0.497   0.261
  38.528    0.994     0.238   0.497   0.260
  38.572    0.995     0.237   0.501   0.256
  38.615    0.996     0.237   0.501   0.258
  38.659    0.998     0.237   0.498   0.263
  38.703    0.996     0.238   0.499   0.259
  38.746    1.000     0.238   0.502   0.261
  38.790    1.001     0.237   0.502   0.262
  38.834    0.995     0.238   0.499   0.258
  38.877    0.995     0.238   0.500   0.257
  38.921    0.990     0.238   0.499   0.253
  38.964    0.994     0.237   0.498   0.258
  39.008    1.001     0.237   0.502   0.262
  39.052    1.002     0.238   0.502   0.263
  39.095    1.003     0.238   0.499   0.265
  39.139    0.995     0.238   0.501   0.257
  39.183    0.991     0.237   0.499   0.254
  39.226    0.998     0.237   0.498   0.263
  39.270    1.004     0.237   0.501   0.266
  39.314    1.001     0.238   0.501   0.263
  39.357    0.996     0.238   0.498   0.260
  39.401    0.996     0.238   0.499   0.259
  39.444    1.000     0.238   0.500   0.263
  39.488    1.005     0.238   0.499   0.268
  39.532    1.006     0.238   0.502   0.266
  39.575    1.006     0.238   0.502   0.266
  39.619    1.001     0.238   0.498   0.265
  39.663    0.997     0.238   0.498   0.261
  39.706    1.003     0.238   0.502   0.263
  39.750    1.006     0.238   0.501   0.267
  39.794    1.000     0.238   0.499   0.263
  39.837    0.999     0.239   0.502   0.259
  39.881    1.007     0.239   0.502   0.266
  39.924    1.011     0.238   0.500   0.272
  39.968    1.003     0.238   0.498   0.267
  40.012    0.994     0.238   0.497   0.259
  40.055    0.997     0.238   0.498   0.261
  40.099    1.001     0.239   0.498   0.263
  40.143    1.004     0.240   0.500   0.264
  40.186    1.004     0.239   0.501   0.264
  40.230    0.994     0.239   0.498   0.257
  40.273    0.998     0.240   0.497   0.262
  40.317    1.006     0.240   0.499   0.268
  40.361    1.002     0.239   0.500   0.263
  40.404    1.005     0.238   0.497   0.269
  40.448    1.008     0.239   0.499   0.271
  40.492    1.001     0.239   0.501   0.261
  40.535    0.992     0.239   0.500   0.254
  40.579    0.990     0.239   0.500   0.251
  40.623    0.995     0.239   0.500   0.256
  40.666    0.998     0.239   0.499   0.260
  40.710    1.001     0.240   0.498   0.264
  40.753    1.004     0.240   0.498   0.265
  40.797    1.000     0.240   0.501   0.258
  40.841    0.996     0.239   0.502   0.254
  40.884    0.995     0.239   0.501   0.256
  40.928    0.996     0.239   0.499   0.257
  40.972    0.998     0.239   0.500   0.259
  41.015    1.000     0.239   0.498   0.262
  41.059    0.994     0.239   0.499   0.256
  41.103    0.993     0.240   0.501   0.252
  41.146    1.001     0.240   0.499   0.262
  41.190    1.002     0.240   0.498   0.265
  41.233    1.000     0.240   0.501   0.258
  41.277    0.997     0.240   0.504   0.254
  41.321    0.996     0.240   0.501   0.256
  41.364    0.998     0.240   0.498   0.259
  41.408    0.992     0.239   0.500   0.253
  41.452    0.999     0.239   0.501   0.258
  41.495    1.012     0.240   0.502   0.269
  41.539    1.004     0.240   0.501   0.263
  41.582    1.002     0.240   0.499   0.264
  41.626    1.007     0.239   0.500   0.267
  41.670    1.002     0.240   0.500   0.263
  41.713    0.999     0.240   0.500   0.259
  41.757    1.002     0.239   0.501   0.262
  41.801    1.006     0.240   0.501   0.266
  41.844    1.002     0.240   0.500   0.263
  41.888    1.006     0.239   0.501   0.265
  41.932    1.009     0.239   0.502   0.267
  41.975    1.000     0.240   0.500   0.260
  42.019    1.001     0.240   0.500   0.261
  42.062    1.007     0.240   0.500   0.268
  42.106    1.003     0.239   0.498   0.266
  42.150    1.000     0.240   0.499   0.261
  42.193    0.998     0.240   0.499   0.259
  42.237    1.001     0.239   0.499   0.262
  42.281    1.000     0.239   0.498   0.263
  42.324    0.996     0.239   0.497   0.261
  42.368    0.997     0.239   0.496   0.262
  42.412    0.992     0.239   0.497   0.256
  42.455    0.992     0.239   0.499   0.254
  42.499    0.999     0.240   0.499   0.260
  42.542    0.999     0.240   0.499   0.260
  42.586    0.999     0.240   0.499   0.260
  42.630    1.002     0.240   0.499   0.263
  42.673    1.001     0.239   0.499   0.263
  42.717    1.001     0.240   0.499   0.263
  42.761    0.999     0.240   0.499   0.260
  42.804    0.994     0.240   0.502   0.252
  42.848    0.996     0.240   0.502   0.254
  42.891    1.001     0.240   0.497   0.263
  42.935    1.002     0.240   0.496   0.266
  42.979    1.004     0.240   0.500   0.263
  43.022    0.998     0.240   0.501   0.257
  43.066    0.993     0.240   0.501   0.251
  43.110    0.997     0.240   0.500   0.256
  43.153    1.001     0.240   0.501   0.259
  43.197    0.994     0.241   0.501   0.253
  43.241    0.994     0.240   0.500   0.254
  43.284    1.001     0.240   0.502   0.259
  43.328    0.996     0.240   0.502   0.253
  43.371    0.998     0.241   0.501   0.256
  43.415    1.001     0.241   0.500   0.260
  43.459    1.000     0.241   0.499   0.260
  43.502    1.005     0.241   0.500   0.263
  43.546    1.006     0.241   0.502   0.263
  43.590    1.010     0.241   0.502   0.267
  43.633    0.999     0.241   0.500   0.259
  43.677    0.993     0.241   0.500   0.252
  43.721    1.006     0.241   0.502   0.264
  43.764    1.005     0.240   0.502   0.263
  43.808    1.000     0.241   0.501   0.258
  43.851    1.003     0.241   0.500   0.262
  43.895    1.003     0.241   0.500   0.262
  43.939    1.000     0.241   0.500   0.259
  43.982    0.999     0.241   0.499   0.260
  44.026    1.003     0.240   0.498   0.264
  44.070    1.008     0.241   0.501   0.266
  44.113    1.007     0.241   0.501   0.265
  44.157    0.999     0.240   0.499   0.261
  44.200    1.004     0.240   0.500   0.264
  44.244    1.007     0.241   0.502   0.264
  44.288    0.995     0.241   0.500   0.254
  44.331    1.000     0.240   0.499   0.261
  44.375    1.002     0.240   0.497   0.265
  44.419    0.997     0.240   0.494   0.262
  44.462    0.999     0.241   0.496   0.262
  44.506    0.996     0.241   0.499   0.256
  44.550    0.999     0.240   0.500   0.259
  44.593    1.002     0.240   0.498   0.263
  44.637    0.998     0.240   0.497   0.261
  44.680    0.997     0.240   0.498   0.259
  44.724    0.992     0.240   0.500   0.252
  44.768    0.994     0.240   0.499   0.254
  44.811    1.006     0.240   0.500   0.265
  44.855    1.002     0.240   0.498   0.263
  44.899    0.991     0.240   0.497   0.254
  44.942    0.987     0.240   0.499   0.248
  44.986    0.994     0.241   0.499   0.254
  45.029    1.002     0.241   0.500   0.261
  45.073    1.002     0.240   0.503   0.258
  45.117    0.998     0.240   0.501   0.257
  45.160    1.001     0.240   0.499   0.261
  45.204    1.002     0.240   0.503   0.259
  45.248    0.999     0.240   0.503   0.256
  45.291    1.001     0.240   0.501   0.259
  45.335    0.995     0.240   0.500   0.255
  45.379    0.993     0.241   0.499   0.254
  45.422    1.003     0.241   0.503   0.259
  45.466    1.006     0.240   0.503   0.263
  45.509    1.002     0.240   0.500   0.262
  45.553    1.003     0.241   0.502   0.260
  45.597    1.002     0.241   0.502   0.259
  45.640    0.998     0.241   0.500   0.257
  45.684    0.995     0.241   0.498   0.255
  45.728    0.995     0.241   0.501   0.253
  45.771    1.003     0.241   0.503   0.258
  45.815    1.009     0.242   0.503   0.264
  45.859    1.000     0.241   0.500   0.258
  45.902    0.991     0.241   0.497   0.253
  45.946    1.004     0.241   0.499   0.264
  45.989    1.014     0.241   0.502   0.271
  46.033    1.003     0.241   0.500   0.262
  46.077    0.997     0.241   0.499   0.257
  46.120    1.008     0.241   0.500   0.267
  46.164    1.003     0.241   0.497   0.264
  46.208    0.998     0.241   0.497   0.259
  46.251    1.006     0.241   0.501   0.264
  46.295    0.998     0.241   0.499   0.258
  46.338    1.001     0.241   0.499   0.261
  46.382    1.010     0.241   0.501   0.269
  46.426    1.002     0.241   0.499   0.262
  46.469    0.998     0.242   0.499   0.257
  46.513    0.995     0.242   0.498   0.255
  46.557    0.997     0.241   0.497   0.259
  46.600    1.001     0.241   0.498   0.261
  46.644    0.998     0.241   0.498   0.259
  46.688    0.996     0.241   0.497   0.258
  46.731    0.995     0.241   0.497   0.257
  46.775    0.999     0.241   0.498   0.261
  46.818    1.003     0.241   0.500   0.262
  46.862    1.002     0.241   0.501   0.260
  46.906    0.995     0.242   0.499   0.254
  46.949    0.991     0.241   0.498   0.252
  46.993    1.000     0.240   0.499   0.261
  47.037    1.003     0.241   0.499   0.263
  47.080    0.996     0.241   0.502   0.253
  47.124    1.002     0.241   0.503   0.258
  47.168    0.997     0.241   0.498   0.259
  47.211    0.992     0.241   0.499   0.252
  47.255    1.003     0.241   0.505   0.258
  47.298    1.004     0.241   0.502   0.261
  47.342    1.000     0.241   0.499   0.259
  47.386    0.994     0.241   0.501   0.252
  47.429    0.994     0.241   0.504   0.249
  47.473    1.001     0.240   0.506   0.255
  47.517    1.002     0.240   0.502   0.259
  47.560    1.000     0.241   0.500   0.259
  47.604    1.003     0.241   0.501   0.260
  47.647    1.004     0.241   0.502   0.261
  47.691    1.003     0.241   0.502   0.260
  47.735    1.002     0.241   0.503   0.259
  47.778    1.002     0.241   0.502   0.259
  47.822    1.000     0.241   0.497   0.262
  47.866    0.997     0.241   0.494   0.262
  47.909    0.999     0.241   0.499   0.259
  47.953    0.999     0.241   0.503   0.255
  47.997    0.999     0.241   0.500   0.258
  48.040    1.004     0.241   0.499   0.264
  48.084    1.002     0.241   0.499   0.262
  48.127    1.002     0.241   0.498   0.263
  48.171    0.999     0.241   0.497   0.262
  48.215    0.998     0.241   0.499   0.258
  48.258    1.006     0.242   0.499   0.264
  48.302    1.008     0.241   0.499   0.268
  48.346    1.002     0.241   0.501   0.260
  48.389    0.996     0.241   0.500   0.255
  48.433    0.997     0.241   0.497   0.258
  48.477    0.999     0.242   0.498   0.260
  48.520    0.999     0.241   0.498   0.259
  48.564    1.004     0.241   0.498   0.265
  48.607    1.004     0.241   0.498   0.265
  48.651    1.001     0.241   0.499   0.261
  48.695    0.999     0.241   0.499   0.259
  48.738    1.001     0.242   0.498   0.262
  48.782    1.004     0.242   0.498   0.264
  48.826    0.996     0.241   0.499   0.257
  48.869    0.995     0.241   0.497   0.256
  48.913    0.997     0.241   0.498   0.258
  48.956    0.994     0.241   0.499   0.254
  49.000    0.998     0.241   0.502   0.255
  49.044    1.001     0.242   0.502   0.257
  49.087    1.000     0.242   0.501   0.257
  49.131    0.998     0.242   0.503   0.254
  49.175    0.995     0.242   0.504   0.249
  49.218    1.000     0.242   0.503   0.255
  49.262    1.008     0.241   0.503   0.264
  49.306    1.006     0.242   0.503   0.262
  49.349    0.997     0.242   0.502   0.253
  49.393    0.994     0.242   0.501   0.251
  49.436    0.999     0.242   0.502   0.256
  49.480    1.002     0.241   0.503   0.258
  49.524    0.998     0.241   0.499   0.258
  49.567    0.993     0.241   0.498   0.254
  49.611    1.003     0.241   0.503   0.259
  49.655    1.006     0.241   0.503   0.261
  49.698    0.998     0.241   0.500   0.257
  49.742    1.001     0.241   0.500   0.260
  49.786    1.003     0.241   0.498   0.264
  49.829    1.001     0.241   0.498   0.262
  49.873    1.001     0.241   0.501   0.259
  49.916    1.004     0.242   0.498   0.264
  49.960    1.005     0.241   0.499   0.266
  50.004    1.000     0.241   0.503   0.256
  50.047    0.999     0.241   0.499   0.258
  50.091    1.001     0.241   0.497   0.263
  50.135    0.993     0.241   0.497   0.255
  50.178    0.992     0.241   0.497   0.254
  50.222    1.004     0.241   0.497   0.265
  50.265    1.002     0.241   0.497   0.265
  50.309    0.995     0.241   0.499   0.255
  50.353    1.002     0.241   0.501   0.260
  50.396    1.011     0.241   0.499   0.271
  50.440    1.004     0.241   0.498   0.265
  50.484    0.998     0.241   0.496   0.260
  50.527    1.000     0.241   0.497   0.262
  50.571    0.997     0.241   0.500   0.256
  50.615    0.994     0.241   0.500   0.253
  50.658    0.991     0.241   0.499   0.251
  50.702    0.993     0.241   0.498   0.254
  50.745    1.004     0.241   0.497   0.265
  50.789    1.003     0.241   0.499   0.263
  50.833    1.003     0.241   0.501   0.261
  50.876    1.006     0.242   0.501   0.264
  50.920    1.002     0.241   0.500   0.260
  50.964    0.999     0.241   0.502   0.257
  51.007    1.001     0.242   0.501   0.258
  51.051    1.006     0.242   0.500   0.264
  51.095    1.006     0.241   0.502   0.263
  51.138    1.003     0.241   0.504   0.257
  51.182    0.995     0.241   0.503   0.251
  51.225    0.994     0.241   0.501   0.252
  51.269    1.001     0.241   0.501   0.258
  51.313    0.996     0.241   0.503   0.251
  51.356    0.990     0.241   0.503   0.246
  51.400    0.998     0.242   0.500   0.257
  51.444    1.006     0.241   0.500   0.264
  51.487    1.003     0.241   0.505   0.257
  51.531    0.998     0.242   0.503   0.253
  51.574    0.994     0.242   0.498   0.254
  51.618    1.000     0.242   0.502   0.256
  51.662    1.006     0.242   0.503   0.262
  51.705    1.004     0.242   0.500   0.262
  51.749    1.002     0.242   0.499   0.261
  51.793    0.998     0.241   0.500   0.257
  51.836    0.994     0.241   0.500   0.253
  51.880    1.001     0.242   0.500   0.259
  51.924    1.006     0.242   0.500   0.265
  51.967    1.000     0.241   0.497   0.261
  52.011    1.000     0.242   0.498   0.261
  52.054    1.001     0.242   0.498   0.262
  52.098    0.995     0.242   0.496   0.258
  52.142    0.996     0.242   0.496   0.258
  52.185    1.002     0.241   0.499   0.262
  52.229    1.006     0.241   0.500   0.265
  52.273    1.004     0.241   0.498   0.264
  52.316    1.003     0.241   0.498   0.264
  52.360    1.002     0.242   0.499   0.261
  52.404    1.002     0.242   0.500   0.260
  52.447    0.996     0.241   0.496   0.259
  52.491    0.992     0.241   0.496   0.254
  52.534    1.002     0.242   0.499   0.262
  52.578    1.004     0.241   0.498   0.265
  52.622    1.000     0.241   0.500   0.259
  52.665    0.998     0.241   0.500   0.257
  52.709    0.992     0.242   0.496   0.254
  52.753    1.000     0.242   0.497   0.261
  52.796    1.005     0.241   0.499   0.265
  52.840    0.993     0.241   0.499   0.253
  52.883    0.991     0.241   0.500   0.250
  52.927    0.999     0.242   0.500   0.257
  52.971    1.003     0.242   0.503   0.259
  53.014    1.000     0.241   0.501   0.258
  53.058    1.000     0.241   0.501   0.258
  53.102    1.000     0.241   0.502   0.258
  53.145    1.004     0.241   0.502   0.261
  53.189    1.006     0.240   0.505   0.261
  53.233    1.005     0.240   0.506   0.259
  53.276    0.999     0.241   0.502   0.256
  53.320    0.998     0.241   0.502   0.255
  53.363    1.000     0.241   0.504   0.255
  53.407    0.997     0.241   0.503   0.253
  53.451    1.002     0.241   0.504   0.257
  53.494    1.001     0.241   0.503   0.258
  53.538    1.003     0.241   0.502   0.260
  53.582    1.008     0.241   0.503   0.264
  53.625    1.003     0.241   0.500   0.262
  53.669    1.000     0.241   0.499   0.259
  53.713    0.997     0.242   0.499   0.256
  53.756    0.999     0.242   0.500   0.257
  53.800    0.997     0.241   0.501   0.255
  53.843    0.991     0.241   0.500   0.250
  53.887    0.996     0.242   0.499   0.255
