 Substance:Al_U       2023/12/12 09:51:13                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å]   9.99999940E-02

 Output: g(r)
 Partials index        1  1    1  2    2  2
   r [A]   Total       Al_Al   Al_U   U_U
   0.000   89.602    32.637  51.963   5.002
   0.020    0.000     0.000   0.000   0.000
   0.040    0.000     0.000   0.000   0.000
   0.060    0.000     0.000   0.000   0.000
   0.080    0.000     0.000   0.000   0.000
   0.100    0.000     0.000   0.000   0.000
   0.120    0.000     0.000   0.000   0.000
   0.140    0.000     0.000   0.000   0.000
   0.160    0.000     0.000   0.000   0.000
   0.180    0.000     0.000   0.000   0.000
   0.200    0.000     0.000   0.000   0.000
   0.220    0.000     0.000   0.000   0.000
   0.240    0.000     0.000   0.000   0.000
   0.260    0.000     0.000   0.000   0.000
   0.280    0.000     0.000   0.000   0.000
   0.300    0.000     0.000   0.000   0.000
   0.320    0.000     0.000   0.000   0.000
   0.340    0.000     0.000   0.000   0.000
   0.360    0.000     0.000   0.000   0.000
   0.380    0.000     0.000   0.000   0.000
   0.400    0.000     0.000   0.000   0.000
   0.420    0.000     0.000   0.000   0.000
   0.440    0.000     0.000   0.000   0.000
   0.460    0.000     0.000   0.000   0.000
   0.480    0.000     0.000   0.000   0.000
   0.500    0.000     0.000   0.000   0.000
   0.520    0.000     0.000   0.000   0.000
   0.540    0.000     0.000   0.000   0.000
   0.560    0.000     0.000   0.000   0.000
   0.580    0.000     0.000   0.000   0.000
   0.600    0.000     0.000   0.000   0.000
   0.620    0.000     0.000   0.000   0.000
   0.640    0.000     0.000   0.000   0.000
   0.660    0.000     0.000   0.000   0.000
   0.680    0.000     0.000   0.000   0.000
   0.700    0.000     0.000   0.000   0.000
   0.720    0.000     0.000   0.000   0.000
   0.740    0.000     0.000   0.000   0.000
   0.760    0.000     0.000   0.000   0.000
   0.780    0.000     0.000   0.000   0.000
   0.800    0.000     0.000   0.000   0.000
   0.820    0.000     0.000   0.000   0.000
   0.840    0.000     0.000   0.000   0.000
   0.860    0.000     0.000   0.000   0.000
   0.880    0.000     0.000   0.000   0.000
   0.900    0.000     0.000   0.000   0.000
   0.920    0.000     0.000   0.000   0.000
   0.940    0.000     0.000   0.000   0.000
   0.960    0.000     0.000   0.000   0.000
   0.980    0.000     0.000   0.000   0.000
   1.000    0.000     0.000   0.000   0.000
   1.020    0.000     0.000   0.000   0.000
   1.040    0.000     0.000   0.000   0.000
   1.060    0.000     0.000   0.000   0.000
   1.080    0.000     0.000   0.000   0.000
   1.100    0.000     0.000   0.000   0.000
   1.120    0.000     0.000   0.000   0.000
   1.140    0.000     0.000   0.000   0.000
   1.160    0.000     0.000   0.000   0.000
   1.180    0.000     0.000   0.000   0.000
   1.200    0.000     0.000   0.000   0.000
   1.220    0.000     0.000   0.000   0.000
   1.240    0.000     0.000   0.000   0.000
   1.260    0.000     0.000   0.000   0.000
   1.280    0.000     0.000   0.000   0.000
   1.300    0.000     0.000   0.000   0.000
   1.320    0.000     0.000   0.000   0.000
   1.340    0.000     0.000   0.000   0.000
   1.360    0.000     0.000   0.000   0.000
   1.380    0.000     0.000   0.000   0.000
   1.400    0.000     0.000   0.000   0.000
   1.420    0.000     0.000   0.000   0.000
   1.440    0.000     0.000   0.000   0.000
