 Substance:Al_U       2023/12/12 09:53:56                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]  0.174532935    

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  29.976     0.003  -0.002   0.005
  30.020     0.003  -0.002   0.004
  30.063     0.003  -0.002   0.002
  30.107     0.002  -0.002  -0.001
  30.151     0.002  -0.002  -0.005
  30.194     0.002  -0.001  -0.010
  30.238     0.002  -0.000  -0.015
  30.281     0.002  -0.000  -0.020
  30.325     0.002  -0.001  -0.022
  30.369     0.002  -0.001  -0.023
  30.412     0.001  -0.001  -0.023
  30.456     0.001  -0.001  -0.021
  30.500     0.000  -0.000  -0.020
  30.543     0.000   0.001  -0.020
  30.587    -0.000   0.002  -0.020
  30.631    -0.001   0.002  -0.021
  30.674    -0.001   0.002  -0.020
  30.718    -0.001   0.001  -0.018
  30.761    -0.001   0.001  -0.014
  30.805    -0.001   0.000  -0.009
  30.849    -0.001   0.000  -0.004
  30.892    -0.001   0.001   0.000
  30.936    -0.001   0.001   0.002
  30.980    -0.002   0.002   0.002
  31.023    -0.002   0.002   0.001
  31.067    -0.002   0.003  -0.001
  31.110    -0.002   0.003  -0.003
  31.154    -0.002   0.002  -0.003
  31.198    -0.002   0.002  -0.000
  31.241    -0.002   0.001   0.005
  31.285    -0.003  -0.000   0.012
  31.329    -0.003  -0.001   0.019
  31.372    -0.003  -0.002   0.025
  31.416    -0.003  -0.002   0.028
  31.460    -0.003  -0.002   0.028
  31.503    -0.002  -0.002   0.025
  31.547    -0.002  -0.001   0.020
  31.590    -0.001  -0.001   0.015
  31.634    -0.001  -0.000   0.012
  31.678    -0.001   0.000   0.010
  31.721    -0.001   0.000   0.009
  31.765    -0.001   0.001   0.010
  31.809    -0.001   0.001   0.011
  31.852    -0.001   0.000   0.012
  31.896    -0.001  -0.000   0.012
  31.940    -0.001  -0.001   0.011
  31.983    -0.001  -0.002   0.009
  32.027    -0.001  -0.003   0.005
  32.070    -0.000  -0.003   0.001
  32.114    -0.000  -0.003  -0.004
  32.158     0.000  -0.003  -0.008
  32.201     0.001  -0.002  -0.011
  32.245     0.001  -0.000  -0.013
  32.289     0.001   0.000  -0.015
  32.332     0.002   0.001  -0.015
  32.376     0.002   0.001  -0.015
  32.419     0.002   0.001  -0.015
  32.463     0.003   0.000  -0.016
  32.507     0.003   0.000  -0.017
  32.550     0.003   0.001  -0.018
  32.594     0.003   0.001  -0.019
  32.638     0.003   0.001  -0.020
  32.681     0.003   0.002  -0.019
  32.725     0.003   0.002  -0.017
  32.769     0.002   0.002  -0.012
  32.812     0.002   0.003  -0.007
  32.856     0.001   0.003  -0.002
  32.899     0.001   0.003   0.002
  32.943     0.001   0.002   0.005
  32.987     0.001   0.002   0.006
  33.030     0.001   0.001   0.005
  33.074     0.002   0.001   0.003
  33.118     0.002   0.001  -0.000
  33.161     0.002   0.001  -0.003
  33.205     0.001   0.000  -0.004
  33.249     0.001  -0.000  -0.003
  33.292     0.000  -0.001  -0.001
  33.336     0.000  -0.001   0.003
  33.379    -0.000  -0.002   0.006
  33.423    -0.000  -0.002   0.008
  33.467    -0.000  -0.002   0.008
  33.510    -0.000  -0.002   0.007
  33.554    -0.000  -0.002   0.007
  33.598    -0.000  -0.002   0.007
  33.641    -0.001  -0.002   0.009
  33.685    -0.001  -0.002   0.012
  33.728    -0.001  -0.003   0.017
  33.772    -0.002  -0.002   0.021
  33.816    -0.002  -0.002   0.024
  33.859    -0.003  -0.001   0.026
  33.903    -0.003  -0.001   0.027
  33.947    -0.004  -0.000   0.026
  33.990    -0.004  -0.000   0.022
  34.034    -0.004  -0.001   0.017
  34.078    -0.003  -0.001   0.010
  34.121    -0.003  -0.001   0.002
  34.165    -0.002  -0.001  -0.006
  34.208    -0.002  -0.000  -0.014
  34.252    -0.002   0.001  -0.020
  34.296    -0.002   0.002  -0.024
  34.339    -0.002   0.002  -0.025
  34.383    -0.001   0.003  -0.022
  34.427    -0.001   0.002  -0.018
  34.470    -0.001   0.002  -0.013
  34.514    -0.000   0.002  -0.008
  34.558    -0.000   0.002  -0.006
  34.601    -0.000   0.001  -0.007
  34.645    -0.000   0.001  -0.009
  34.688    -0.000   0.001  -0.012
  34.732    -0.000   0.001  -0.013
  34.776     0.000   0.000  -0.013
  34.819     0.000  -0.000  -0.010
  34.863     0.001   0.000  -0.006
  34.907     0.001   0.000  -0.003
  34.950     0.001   0.001  -0.002
  34.994     0.002   0.001  -0.003
  35.037     0.002   0.001  -0.005
  35.081     0.002   0.001  -0.006
  35.125     0.002   0.000  -0.006
  35.168     0.002  -0.000  -0.006
  35.212     0.002  -0.001  -0.004
  35.256     0.002  -0.001  -0.004
  35.299     0.002  -0.001  -0.003
  35.343     0.002  -0.001  -0.002
  35.387     0.002  -0.001   0.000
  35.430     0.002  -0.000   0.004
  35.474     0.002  -0.000   0.010
  35.517     0.002  -0.000   0.015
  35.561     0.002  -0.000   0.019
  35.605     0.002  -0.000   0.020
  35.648     0.002  -0.000   0.019
  35.692     0.001   0.000   0.016
  35.736     0.001   0.001   0.013
  35.779     0.001   0.000   0.011
  35.823     0.001  -0.000   0.010
  35.867     0.001  -0.001   0.008
  35.910     0.000  -0.002   0.007
  35.954     0.000  -0.003   0.006
  35.997    -0.000  -0.003   0.005
  36.041    -0.000  -0.003   0.006
  36.085    -0.000  -0.003   0.007
  36.128    -0.000  -0.002   0.010
  36.172    -0.000  -0.002   0.011
  36.216     0.000  -0.001   0.012
  36.259     0.000  -0.000   0.010
  36.303    -0.000   0.001   0.006
  36.346    -0.000   0.002   0.001
  36.390    -0.001   0.003  -0.005
  36.434    -0.001   0.003  -0.010
  36.477    -0.001   0.003  -0.014
  36.521    -0.002   0.002  -0.016
  36.565    -0.002   0.001  -0.016
  36.608    -0.002   0.001  -0.015
  36.652    -0.002   0.000  -0.014
  36.696    -0.002  -0.000  -0.013
  36.739    -0.002  -0.000  -0.014
  36.783    -0.002  -0.000  -0.014
  36.826    -0.001   0.000  -0.015
  36.870    -0.001   0.001  -0.015
  36.914    -0.001   0.001  -0.013
  36.957    -0.002   0.001  -0.010
  37.001    -0.002   0.001  -0.008
  37.045    -0.002   0.001  -0.006
  37.088    -0.002   0.001  -0.005
  37.132    -0.002   0.000  -0.004
  37.176    -0.002   0.000  -0.004
  37.219    -0.001  -0.000  -0.004
  37.263    -0.001  -0.000  -0.003
  37.306    -0.001  -0.000  -0.001
  37.350    -0.001   0.000   0.001
  37.394    -0.000   0.001   0.002
  37.437    -0.000   0.001   0.004
  37.481     0.000   0.001   0.006
  37.525     0.001   0.000   0.007
  37.568     0.001  -0.000   0.009
  37.612     0.001  -0.001   0.010
  37.655     0.001  -0.001   0.011
  37.699     0.002  -0.001   0.012
  37.743     0.002  -0.000   0.012
  37.786     0.002   0.000   0.012
  37.830     0.002   0.000   0.013
  37.874     0.002  -0.000   0.013
  37.917     0.002  -0.002   0.013
  37.961     0.001  -0.003   0.014
  38.005     0.001  -0.004   0.013
  38.048     0.001  -0.004   0.012
  38.092     0.002  -0.003   0.010
  38.135     0.002  -0.001   0.008
  38.179     0.002   0.001   0.005
  38.223     0.002   0.003   0.003
  38.266     0.002   0.003   0.001
  38.310     0.002   0.003   0.001
  38.354     0.001   0.002   0.001
  38.397     0.001  -0.000   0.001
  38.441     0.001  -0.002  -0.000
  38.485     0.001  -0.003  -0.002
  38.528     0.000  -0.003  -0.005
  38.572     0.000  -0.003  -0.008
  38.615     0.000  -0.002  -0.010
  38.659     0.000  -0.000  -0.012
  38.703     0.000   0.001  -0.013
  38.746     0.000   0.002  -0.013
  38.790     0.001   0.003  -0.014
  38.834     0.000   0.003  -0.015
  38.877     0.000   0.002  -0.016
  38.921     0.000   0.002  -0.016
  38.964    -0.000   0.001  -0.014
  39.008    -0.000   0.001  -0.012
  39.052    -0.001   0.000  -0.010
  39.095    -0.001   0.001  -0.008
  39.139    -0.001   0.001  -0.006
  39.183    -0.002   0.001  -0.006
  39.226    -0.002   0.001  -0.005
  39.270    -0.002   0.000  -0.004
  39.314    -0.002  -0.000  -0.002
  39.357    -0.002  -0.001  -0.000
  39.401    -0.002  -0.001   0.002
  39.444    -0.002  -0.001   0.005
  39.488    -0.002  -0.000   0.007
  39.532    -0.002   0.000   0.009
  39.575    -0.001   0.001   0.009
  39.619    -0.001   0.001   0.009
  39.663    -0.001   0.002   0.008
  39.706    -0.001   0.002   0.008
  39.750    -0.001   0.002   0.008
  39.794    -0.001   0.002   0.009
  39.837    -0.001   0.001   0.010
  39.881    -0.001   0.001   0.012
  39.924    -0.001  -0.000   0.012
  39.968    -0.001  -0.001   0.011
  40.012    -0.001  -0.002   0.009
  40.055    -0.001  -0.002   0.007
  40.099    -0.000  -0.002   0.004
  40.143     0.001  -0.002   0.003
  40.186     0.001  -0.001   0.003
  40.230     0.001  -0.001   0.005
  40.273     0.001  -0.001   0.008
  40.317     0.001  -0.001   0.011
  40.361     0.001  -0.001   0.012
  40.404     0.000  -0.001   0.010
  40.448     0.000  -0.001   0.005
  40.492     0.000  -0.001  -0.001
  40.535     0.001  -0.001  -0.006
  40.579     0.001  -0.002  -0.010
  40.623     0.001  -0.002  -0.011
  40.666     0.001  -0.002  -0.010
  40.710     0.002  -0.001  -0.008
  40.753     0.002  -0.001  -0.007
  40.797     0.001   0.000  -0.008
  40.841     0.001   0.001  -0.009
  40.884     0.001   0.001  -0.011
  40.928     0.001   0.001  -0.013
  40.972     0.000   0.000  -0.013
  41.015     0.000   0.000  -0.012
  41.059     0.001   0.001  -0.010
  41.103     0.001   0.001  -0.009
  41.146     0.001   0.001  -0.009
  41.190     0.001   0.001  -0.010
  41.233     0.001   0.001  -0.011
  41.277     0.001   0.001  -0.012
  41.321     0.001   0.002  -0.012
  41.364     0.001   0.002  -0.010
  41.408     0.001   0.002  -0.006
  41.452     0.001   0.002  -0.001
  41.495     0.001   0.002   0.004
  41.539     0.001   0.002   0.008
  41.582     0.000   0.001   0.011
  41.626     0.000   0.001   0.011
  41.670    -0.000   0.001   0.011
  41.713    -0.000   0.001   0.010
  41.757    -0.001   0.001   0.010
  41.801    -0.001   0.002   0.011
  41.844    -0.001   0.002   0.011
  41.888    -0.001   0.002   0.012
  41.932    -0.001   0.002   0.013
  41.975    -0.001   0.002   0.012
  42.019    -0.001   0.001   0.012
  42.062    -0.001   0.000   0.011
  42.106    -0.001  -0.001   0.010
  42.150    -0.001  -0.002   0.008
  42.193    -0.001  -0.003   0.007
  42.237    -0.002  -0.004   0.005
  42.281    -0.002  -0.005   0.002
  42.324    -0.002  -0.005  -0.001
  42.368    -0.003  -0.004  -0.004
  42.412    -0.002  -0.004  -0.005
  42.455    -0.002  -0.003  -0.005
  42.499    -0.002  -0.003  -0.004
  42.542    -0.002  -0.002  -0.002
  42.586    -0.001  -0.002   0.000
  42.630    -0.001  -0.001   0.001
  42.673    -0.001  -0.000   0.001
  42.717    -0.001  -0.000  -0.001
  42.761    -0.001   0.000  -0.002
  42.804    -0.001   0.000  -0.003
  42.848    -0.000  -0.000  -0.003
  42.891     0.000  -0.000  -0.003
  42.935     0.000  -0.001  -0.003
  42.979     0.000  -0.001  -0.004
  43.022     0.001  -0.000  -0.007
  43.066     0.001   0.000  -0.010
  43.110     0.001   0.001  -0.014
  43.153     0.001   0.002  -0.017
  43.197     0.001   0.002  -0.018
  43.241     0.001   0.002  -0.018
  43.284     0.001   0.002  -0.016
  43.328     0.001   0.002  -0.012
  43.371     0.001   0.002  -0.008
  43.415     0.002   0.002  -0.003
  43.459     0.002   0.002   0.002
  43.502     0.002   0.003   0.005
  43.546     0.002   0.003   0.006
  43.590     0.002   0.003   0.006
  43.633     0.002   0.003   0.005
  43.677     0.002   0.002   0.003
  43.721     0.001   0.002   0.002
  43.764     0.001   0.002   0.002
  43.808     0.001   0.002   0.003
  43.851     0.001   0.001   0.004
  43.895     0.001   0.001   0.005
  43.939     0.001   0.001   0.007
  43.982     0.001   0.000   0.010
  44.026     0.001   0.000   0.011
  44.070     0.001  -0.000   0.013
  44.113     0.000  -0.000   0.013
  44.157     0.000  -0.000   0.012
  44.200    -0.000  -0.000   0.011
  44.244    -0.000  -0.001   0.009
  44.288    -0.000  -0.002   0.008
  44.331    -0.000  -0.003   0.007
  44.375    -0.000  -0.004   0.006
  44.419    -0.000  -0.005   0.005
  44.462    -0.000  -0.005   0.005
  44.506    -0.000  -0.005   0.004
  44.550    -0.001  -0.004   0.002
  44.593    -0.001  -0.004   0.000
  44.637    -0.001  -0.003  -0.002
  44.680    -0.001  -0.002  -0.003
  44.724    -0.002  -0.002  -0.004
  44.768    -0.002  -0.002  -0.006
  44.811    -0.002  -0.002  -0.007
  44.855    -0.001  -0.002  -0.009
  44.899    -0.001  -0.002  -0.011
  44.942    -0.001  -0.001  -0.012
  44.986    -0.001  -0.000  -0.012
  45.029    -0.001   0.001  -0.010
  45.073    -0.001   0.003  -0.008
  45.117    -0.001   0.003  -0.006
  45.160    -0.002   0.004  -0.005
  45.204    -0.002   0.004  -0.005
  45.248    -0.002   0.003  -0.006
  45.291    -0.002   0.003  -0.007
  45.335    -0.002   0.002  -0.006
  45.379    -0.001   0.002  -0.005
  45.422    -0.001   0.003  -0.003
  45.466    -0.001   0.003  -0.001
  45.509    -0.000   0.003  -0.000
  45.553    -0.000   0.003  -0.001
  45.597     0.000   0.003  -0.003
  45.640     0.001   0.002  -0.005
  45.684     0.001   0.002  -0.007
  45.728     0.001   0.002  -0.007
  45.771     0.001   0.001  -0.005
  45.815     0.001   0.001  -0.002
  45.859     0.001   0.001   0.002
  45.902     0.001   0.001   0.006
  45.946     0.001   0.001   0.010
  45.989     0.001   0.000   0.012
  46.033     0.001  -0.000   0.014
  46.077     0.001  -0.001   0.014
  46.120     0.001  -0.001   0.014
  46.164     0.001  -0.001   0.013
  46.208     0.001  -0.002   0.012
  46.251     0.001  -0.002   0.011
  46.295     0.001  -0.002   0.011
  46.338     0.001  -0.002   0.010
  46.382     0.001  -0.002   0.008
  46.426     0.001  -0.002   0.006
  46.469     0.001  -0.003   0.003
  46.513     0.001  -0.003   0.001
  46.557     0.001  -0.003  -0.001
  46.600     0.001  -0.004  -0.001
  46.644     0.001  -0.004  -0.001
  46.688     0.001  -0.004  -0.001
  46.731     0.001  -0.004  -0.001
  46.775     0.000  -0.003  -0.001
  46.818     0.000  -0.003  -0.002
  46.862    -0.000  -0.002  -0.003
  46.906    -0.000  -0.001  -0.004
  46.949    -0.000  -0.000  -0.006
  46.993    -0.001   0.000  -0.006
  47.037    -0.001   0.001  -0.007
  47.080    -0.001   0.002  -0.007
  47.124    -0.001   0.002  -0.007
  47.168    -0.001   0.003  -0.007
  47.211    -0.001   0.003  -0.008
  47.255    -0.001   0.003  -0.009
  47.298    -0.001   0.004  -0.011
  47.342    -0.001   0.004  -0.012
  47.386    -0.001   0.004  -0.013
  47.429    -0.002   0.004  -0.013
  47.473    -0.002   0.004  -0.011
  47.517    -0.002   0.004  -0.008
  47.560    -0.002   0.004  -0.004
  47.604    -0.001   0.004  -0.000
  47.647    -0.001   0.003   0.002
  47.691    -0.001   0.002   0.004
  47.735    -0.001   0.002   0.004
  47.778    -0.001   0.001   0.003
  47.822    -0.001  -0.000   0.003
  47.866    -0.001  -0.001   0.002
  47.909    -0.001  -0.001   0.002
  47.953    -0.001  -0.001   0.002
  47.997    -0.000  -0.002   0.003
  48.040    -0.000  -0.002   0.005
  48.084    -0.000  -0.002   0.008
  48.127    -0.000  -0.003   0.010
  48.171     0.000  -0.003   0.011
  48.215     0.000  -0.002   0.012
  48.258     0.000  -0.002   0.011
  48.302     0.000  -0.001   0.009
  48.346     0.000  -0.001   0.007
  48.389     0.001  -0.001   0.005
  48.433     0.001  -0.002   0.004
  48.477     0.001  -0.003   0.005
  48.520     0.000  -0.003   0.007
  48.564     0.000  -0.004   0.009
  48.607     0.000  -0.004   0.011
  48.651     0.000  -0.004   0.011
  48.695     0.001  -0.003   0.009
  48.738     0.001  -0.003   0.007
  48.782     0.001  -0.003   0.003
  48.826     0.001  -0.003  -0.001
  48.869     0.001  -0.002  -0.004
  48.913     0.001  -0.001  -0.008
  48.956     0.001  -0.000  -0.010
  49.000     0.001   0.001  -0.013
  49.044     0.001   0.002  -0.014
  49.087     0.001   0.004  -0.014
  49.131     0.001   0.005  -0.013
  49.175     0.001   0.006  -0.012
  49.218     0.001   0.006  -0.010
  49.262     0.001   0.006  -0.009
  49.306     0.001   0.006  -0.009
  49.349     0.001   0.005  -0.009
  49.393     0.001   0.004  -0.010
  49.436     0.000   0.003  -0.011
  49.480     0.000   0.003  -0.010
  49.524    -0.000   0.003  -0.009
  49.567    -0.000   0.002  -0.006
  49.611    -0.001   0.002  -0.003
  49.655    -0.001   0.002  -0.000
  49.698    -0.001   0.001   0.003
  49.742    -0.001   0.000   0.006
  49.786    -0.000  -0.001   0.008
  49.829    -0.000  -0.001   0.010
  49.873    -0.000  -0.001   0.010
  49.916    -0.000  -0.002   0.010
  49.960    -0.000  -0.002   0.008
  50.004    -0.000  -0.002   0.005
  50.047    -0.000  -0.002   0.003
  50.091    -0.000  -0.003   0.001
  50.135    -0.001  -0.003   0.001
  50.178    -0.001  -0.004   0.002
  50.222    -0.001  -0.004   0.004
  50.265    -0.001  -0.004   0.007
  50.309    -0.001  -0.003   0.011
  50.353    -0.001  -0.003   0.013
  50.396    -0.001  -0.003   0.014
  50.440    -0.001  -0.003   0.011
  50.484    -0.001  -0.003   0.007
  50.527    -0.001  -0.003   0.001
  50.571    -0.001  -0.003  -0.004
  50.615    -0.001  -0.003  -0.007
  50.658    -0.001  -0.003  -0.007
  50.702    -0.001  -0.002  -0.004
  50.745    -0.001  -0.002   0.000
  50.789    -0.001  -0.001   0.005
  50.833    -0.001   0.000   0.008
  50.876    -0.001   0.001   0.009
  50.920    -0.000   0.002   0.008
  50.964    -0.000   0.003   0.007
  51.007     0.000   0.003   0.004
  51.051     0.000   0.004   0.001
  51.095     0.000   0.004  -0.003
  51.138     0.000   0.004  -0.008
  51.182     0.000   0.004  -0.012
  51.225    -0.000   0.004  -0.016
  51.269    -0.000   0.004  -0.018
  51.313    -0.000   0.004  -0.018
  51.356    -0.000   0.004  -0.017
  51.400     0.000   0.004  -0.015
  51.444     0.000   0.004  -0.012
  51.487     0.001   0.004  -0.009
  51.531     0.001   0.004  -0.007
  51.574     0.001   0.003  -0.005
  51.618     0.001   0.003  -0.004
  51.662     0.001   0.002  -0.002
  51.705     0.001   0.001  -0.001
  51.749     0.001   0.000   0.000
  51.793     0.001  -0.000   0.001
  51.836     0.001  -0.001   0.002
  51.880     0.001  -0.001   0.003
  51.924     0.001  -0.002   0.004
  51.967     0.001  -0.003   0.006
  52.011     0.001  -0.004   0.007
  52.054     0.001  -0.005   0.008
  52.098     0.001  -0.005   0.009
  52.142     0.001  -0.005   0.010
  52.185     0.001  -0.005   0.012
  52.229     0.001  -0.004   0.013
  52.273     0.001  -0.003   0.013
  52.316     0.001  -0.003   0.012
  52.360     0.001  -0.003   0.010
  52.404     0.000  -0.003   0.008
  52.447     0.000  -0.003   0.006
  52.491    -0.000  -0.003   0.004
  52.534    -0.000  -0.003   0.003
  52.578    -0.000  -0.003   0.003
  52.622    -0.001  -0.003   0.002
  52.665    -0.001  -0.003   0.001
  52.709    -0.001  -0.003  -0.001
  52.753    -0.001  -0.003  -0.003
  52.796    -0.000  -0.003  -0.005
  52.840    -0.000  -0.002  -0.007
  52.883    -0.000  -0.001  -0.008
  52.927    -0.000   0.001  -0.008
  52.971    -0.001   0.002  -0.007
  53.014    -0.001   0.004  -0.005
  53.058    -0.001   0.005  -0.002
  53.102    -0.002   0.006  -0.001
  53.145    -0.002   0.007  -0.000
  53.189    -0.002   0.007  -0.001
  53.233    -0.002   0.007  -0.004
  53.276    -0.002   0.007  -0.007
  53.320    -0.001   0.006  -0.009
  53.363    -0.001   0.006  -0.010
  53.407    -0.001   0.005  -0.009
  53.451    -0.001   0.005  -0.006
  53.494    -0.001   0.005  -0.002
  53.538    -0.001   0.004   0.001
  53.582    -0.001   0.004   0.003
  53.625    -0.000   0.003   0.002
  53.669    -0.000   0.002  -0.000
  53.713     0.000   0.001  -0.004
  53.756     0.000   0.000  -0.007
  53.800     0.000  -0.001  -0.008
  53.843     0.000  -0.002  -0.007
  53.887     0.000  -0.003  -0.003
  53.931     0.000  -0.004   0.001
  53.974     0.000  -0.004   0.006
  54.018     0.000  -0.005   0.009
  54.062     0.001  -0.005   0.011
  54.105     0.001  -0.005   0.011
  54.149     0.001  -0.005   0.010
  54.192     0.002  -0.005   0.008
  54.236     0.002  -0.005   0.006
  54.280     0.002  -0.005   0.004
  54.323     0.002  -0.005   0.002
  54.367     0.001  -0.005   0.001
  54.411     0.001  -0.005  -0.001
  54.454     0.001  -0.005  -0.002
  54.498     0.002  -0.005  -0.002
  54.542     0.002  -0.005  -0.001
  54.585     0.001  -0.004  -0.000
  54.629     0.001  -0.004   0.001
  54.672     0.001  -0.003   0.003
  54.716     0.001  -0.003   0.004
  54.760     0.001  -0.002   0.006
  54.803     0.001  -0.000   0.008
  54.847     0.001   0.001   0.009
  54.891     0.000   0.002   0.009
  54.934     0.000   0.003   0.007
  54.978     0.000   0.004   0.004
  55.022     0.000   0.005   0.001
  55.065     0.000   0.005  -0.003
  55.109    -0.000   0.005  -0.006
  55.152    -0.000   0.005  -0.008
  55.196    -0.000   0.005  -0.010
  55.240    -0.000   0.005  -0.011
  55.283    -0.001   0.005  -0.011
  55.327    -0.001   0.005  -0.011
  55.371    -0.001   0.005  -0.010
  55.414    -0.001   0.005  -0.009
  55.458    -0.001   0.006  -0.007
  55.501    -0.001   0.006  -0.007
  55.545    -0.001   0.006  -0.007
  55.589    -0.002   0.005  -0.008
  55.632    -0.002   0.005  -0.009
  55.676    -0.002   0.004  -0.009
  55.720    -0.002   0.003  -0.008
  55.763    -0.002   0.002  -0.005
  55.807    -0.002   0.001   0.000
  55.851    -0.002   0.000   0.006
  55.894    -0.002   0.000   0.011
  55.938    -0.002  -0.001   0.015
  55.981    -0.002  -0.001   0.016
  56.025    -0.002  -0.003   0.017
  56.069    -0.001  -0.004   0.016
  56.112    -0.001  -0.005   0.014
  56.156    -0.001  -0.006   0.011
  56.200    -0.001  -0.007   0.009
  56.243    -0.001  -0.007   0.006
  56.287    -0.000  -0.007   0.002
  56.331    -0.000  -0.007  -0.001
  56.374     0.000  -0.007  -0.004
  56.418     0.000  -0.007  -0.006
  56.461     0.001  -0.006  -0.007
  56.505     0.001  -0.006  -0.007
  56.549     0.001  -0.005  -0.007
  56.592     0.001  -0.005  -0.006
  56.636     0.002  -0.004  -0.005
  56.680     0.002  -0.004  -0.004
  56.723     0.002  -0.003  -0.002
  56.767     0.002  -0.002  -0.001
  56.810     0.002  -0.001   0.001
  56.854     0.002   0.000   0.002
  56.898     0.002   0.001   0.003
  56.941     0.002   0.002   0.003
  56.985     0.002   0.003   0.002
  57.029     0.002   0.004   0.001
  57.072     0.002   0.004  -0.000
  57.116     0.002   0.004   0.000
  57.160     0.002   0.004   0.001
  57.203     0.002   0.005   0.003
  57.247     0.002   0.005   0.004
  57.290     0.001   0.005   0.004
  57.334     0.001   0.005   0.003
  57.378     0.001   0.006   0.001
  57.421     0.001   0.006  -0.001
  57.465     0.000   0.006  -0.003
  57.509    -0.000   0.005  -0.005
  57.552    -0.001   0.005  -0.007
  57.596    -0.001   0.004  -0.008
  57.640    -0.001   0.004  -0.009
  57.683    -0.001   0.004  -0.009
  57.727    -0.001   0.003  -0.009
  57.770    -0.001   0.002  -0.007
  57.814    -0.001   0.002  -0.004
  57.858    -0.002   0.001  -0.001
  57.901    -0.002  -0.000   0.002
  57.945    -0.002  -0.001   0.004
  57.989    -0.002  -0.002   0.005
  58.032    -0.002  -0.002   0.006
  58.076    -0.002  -0.003   0.005
  58.119    -0.002  -0.003   0.005
  58.163    -0.002  -0.003   0.004
  58.207    -0.001  -0.003   0.004
  58.250    -0.001  -0.003   0.004
  58.294    -0.001  -0.003   0.004
  58.338    -0.001  -0.003   0.003
  58.381    -0.001  -0.004   0.001
  58.425    -0.001  -0.004  -0.001
  58.469    -0.001  -0.004  -0.003
  58.512    -0.001  -0.005  -0.004
  58.556    -0.001  -0.005  -0.004
  58.599    -0.001  -0.005  -0.003
  58.643    -0.001  -0.006  -0.001
  58.687    -0.001  -0.006   0.002
  58.730    -0.001  -0.006   0.004
  58.774    -0.000  -0.005   0.006
  58.818    -0.000  -0.005   0.007
  58.861     0.000  -0.004   0.007
  58.905     0.001  -0.003   0.007
  58.948     0.001  -0.001   0.006
  58.992     0.002   0.000   0.005
  59.036     0.002   0.001   0.003
  59.079     0.002   0.002   0.001
  59.123     0.002   0.003  -0.001
  59.167     0.002   0.004  -0.003
  59.210     0.002   0.004  -0.005
  59.254     0.002   0.004  -0.007
  59.298     0.002   0.004  -0.009
  59.341     0.002   0.004  -0.011
  59.385     0.002   0.004  -0.012
  59.428     0.002   0.004  -0.012
  59.472     0.002   0.004  -0.010
  59.516     0.002   0.004  -0.008
  59.559     0.002   0.004  -0.006
  59.603     0.002   0.004  -0.003
  59.647     0.002   0.005  -0.002
  59.690     0.002   0.005  -0.001
  59.734     0.001   0.006   0.000
  59.778     0.001   0.006   0.003
  59.821     0.001   0.007   0.006
  59.865     0.001   0.006   0.010
  59.908     0.000   0.005   0.014
  59.952    -0.000   0.003   0.017
  59.996    -0.000   0.001   0.017
  60.039    -0.001  -0.002   0.016
  60.083    -0.001  -0.003   0.012
  60.127    -0.001  -0.004   0.008
  60.170    -0.001  -0.004   0.004
  60.214    -0.002  -0.004   0.000
  60.257    -0.002  -0.004  -0.002
  60.301    -0.002  -0.004  -0.004
  60.345    -0.002  -0.004  -0.005
  60.388    -0.003  -0.004  -0.007
  60.432    -0.003  -0.004  -0.010
  60.476    -0.003  -0.004  -0.013
  60.519    -0.002  -0.004  -0.016
  60.563    -0.002  -0.004  -0.017
  60.607    -0.002  -0.004  -0.018
  60.650    -0.002  -0.004  -0.016
  60.694    -0.002  -0.004  -0.012
  60.737    -0.002  -0.003  -0.007
  60.781    -0.002  -0.003  -0.002
  60.825    -0.002  -0.003   0.003
  60.868    -0.001  -0.002   0.007
  60.912    -0.001  -0.002   0.010
  60.956    -0.000  -0.001   0.012
  60.999     0.000   0.000   0.014
  61.043     0.001   0.001   0.016
  61.087     0.001   0.001   0.017
  61.130     0.001   0.001   0.018
  61.174     0.001   0.001   0.017
  61.217     0.001   0.001   0.015
  61.261     0.001   0.001   0.012
  61.305     0.001   0.001   0.007
  61.348     0.001   0.001   0.003
  61.392     0.001   0.001  -0.002
  61.436     0.001   0.001  -0.007
  61.479     0.001   0.001  -0.011
  61.523     0.001   0.001  -0.015
  61.566     0.001   0.001  -0.017
  61.610     0.001   0.001  -0.018
  61.654     0.001   0.001  -0.018
  61.697     0.001   0.001  -0.016
  61.741     0.001   0.002  -0.013
  61.785     0.002   0.002  -0.010
  61.828     0.002   0.003  -0.008
  61.872     0.002   0.003  -0.005
  61.916     0.003   0.004  -0.003
  61.959     0.003   0.004  -0.001
  62.003     0.003   0.005   0.001
  62.046     0.002   0.005   0.004
  62.090     0.002   0.005   0.007
  62.134     0.002   0.005   0.011
  62.177     0.002   0.004   0.015
  62.221     0.001   0.004   0.018
