 Substance:   Al_U       MP_SQL 1.56 2023/12/12 10:42:25
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms       :    Al      U   
 Atom no.    :       1       2
 Occupancies:   0.9200  0.0800
 Amplitudes  :  19.3117 25.1244
 Scale factors:   1.0000   1.0000
 Masks	      :        1       1
 Smoothing FWHM [Å]   4.99999970E-02

 Output: Z(Q)
    Q [A-1]            1  1             2  1             2  2
  0.550000012     -0.908007801     -0.859869778      -7.89127779    
  0.560000002     -0.906297207     -0.865599513      -7.83456993    
  0.569999993     -0.906960845     -0.860588193      -7.83437872    
  0.579999983     -0.911263585     -0.841730475      -7.89989758    
  0.589999974     -0.918196380     -0.815151453      -7.99184513    
  0.599999964     -0.925151169     -0.792063534      -8.05237579    
  0.610000014     -0.928711414     -0.786057055      -8.01871395    
  0.620000005     -0.929020345     -0.793278515      -7.92432690    
  0.629999995     -0.927776814     -0.804485679      -7.82701206    
  0.639999986     -0.927057207     -0.811507344      -7.76552248    
  0.649999976     -0.927860200     -0.811979234      -7.73894262    
  0.659999967     -0.929512382     -0.810197473      -7.71120214    
  0.669999957     -0.931003690     -0.810040832      -7.65727377    
  0.680000007     -0.932436347     -0.809742987      -7.59206963    
  0.689999998     -0.934352279     -0.805593550      -7.54731607    
  0.699999988     -0.935829103     -0.801543772      -7.51230669    
  0.709999979     -0.935812354     -0.802887976      -7.46211386    
  0.719999969     -0.933843732     -0.813790023      -7.36313677    
  0.729999959     -0.931621552     -0.827862561      -7.24161005    
  0.740000010     -0.931688488     -0.833918035      -7.15477276    
  0.750000000     -0.934170723     -0.830842435      -7.10827017    
  0.759999990     -0.937195897     -0.825903773      -7.06562519    
  0.769999981     -0.938592911     -0.828387976      -6.97142267    
  0.779999971     -0.938285530     -0.838645101      -6.81835365    
  0.789999962     -0.938369393     -0.845668793      -6.67771864    
  0.799999952     -0.940764010     -0.839298964      -6.62548208    
  0.810000002     -0.944177330     -0.826442242      -6.63258839    
  0.819999993     -0.946314812     -0.819499016      -6.62451649    
  0.829999983     -0.946447730     -0.823289216      -6.55632448    
  0.839999974     -0.944987535     -0.836893857      -6.40706968    
  0.849999964     -0.943122208     -0.854672670      -6.19532108    
  0.859999955     -0.940227211     -0.881164253      -5.88955545    
  0.870000005     -0.936559916     -0.914285958      -5.52671099    
  0.879999995     -0.933628798     -0.942493677      -5.22640085    
  0.889999986     -0.932374656     -0.958106160      -5.05910492    
  0.899999976     -0.933726013     -0.954650760      -5.06604815    
  0.909999967     -0.936878920     -0.939370811      -5.16463804    
  0.919999957     -0.939715862     -0.928587735      -5.20535374    
  0.930000007     -0.940458894     -0.933904469      -5.09163904    
  0.939999998     -0.938755214     -0.955785275      -4.82513332    
  0.949999988     -0.936135292     -0.982567549      -4.51183558    
  0.959999979     -0.935487151     -0.995598078      -4.30753136    
  0.969999969     -0.937474072     -0.991487503      -4.24066162    
  0.979999959     -0.939861238     -0.985222042      -4.18752146    
  0.989999950     -0.940288663     -0.991979301      -4.02335501    
   1.00000000     -0.938218057      -1.01512885      -3.72621298    
   1.00999999     -0.934699416      -1.04850495      -3.34977579    
   1.01999998     -0.931277156      -1.08128488      -2.98750758    
   1.02999997     -0.927652955      -1.11557078      -2.61214447    
   1.03999996     -0.923607826      -1.15286720      -2.19637299    
   1.04999995     -0.920791686      -1.18136418      -1.84304905    
   1.05999994     -0.920266449      -1.19374263      -1.62495303    
   1.06999993     -0.922414124      -1.18673754      -1.58628452    
   1.07999992     -0.924993336      -1.17671788      -1.58666635    
   1.09000003     -0.925527692      -1.18123710      -1.47066903    
   1.10000002     -0.922460854      -1.21277797      -1.11523902    
   1.11000001     -0.915850997      -1.27259147     -0.498766333    
   1.12000000     -0.907003999      -1.35255909      0.314983785    
   1.13000000     -0.897820950      -1.43734169       1.18735945    
   1.13999999     -0.890952528      -1.50245583       1.88264763    
   1.14999998     -0.887443483      -1.53639603       2.29049706    
   1.15999997     -0.886431277      -1.54695845       2.49479079    
   1.16999996     -0.885890901      -1.55370998       2.68696809    
   1.17999995     -0.884007752      -1.57520819       3.03119898    
   1.18999994     -0.881595790      -1.60685146       3.45942688    
   1.19999993     -0.879258215      -1.64258075       3.89140797    
   1.20999992     -0.877476573      -1.67358387       4.24575090    
   1.22000003     -0.876302421      -1.69391489       4.48475266    
   1.23000002     -0.876632035      -1.69310427       4.52982759    
   1.24000001     -0.878278315      -1.67491651       4.42457533    
   1.25000000     -0.879193008      -1.66172063       4.38640022    
   1.25999999     -0.877121747      -1.67735791       4.64147902    
   1.26999998     -0.872085810      -1.72292507       5.18669844    
   1.27999997     -0.867221415      -1.77084196       5.73548508    
   1.28999996     -0.866135478      -1.78638017       5.92492437    
   1.29999995     -0.869223356      -1.76370811       5.69754505    
   1.30999994     -0.873888433      -1.72308242       5.27424622    
   1.31999993     -0.876423538      -1.69606376       4.98635817    
   1.32999992     -0.875329733      -1.69519699       4.96308470    
   1.33999991     -0.871631026      -1.71231604       5.11218452    
   1.35000002     -0.867549956      -1.72966659       5.25001907    
   1.36000001     -0.865027606      -1.73481143       5.25917768    
   1.37000000     -0.864664078      -1.72571278       5.13533258    
   1.38000000     -0.866643608      -1.70242488       4.88470316    
   1.38999999     -0.870079219      -1.67025793       4.56247711    
   1.39999998     -0.874230325      -1.63179862       4.18090391    
   1.40999997     -0.878526866      -1.58637476       3.70951724    
   1.41999996     -0.881951809      -1.53931892       3.17886829    
   1.42999995     -0.884253919      -1.49303281       2.60925388    
   1.43999994     -0.884988785      -1.45570970       2.09639788    
   1.44999993     -0.885276854      -1.42441559       1.63927102    
   1.45999992     -0.886286199      -1.39227951       1.19234085    
   1.46999991     -0.888230145      -1.35655725      0.736213982    
   1.48000002     -0.889726222      -1.32555103      0.350765198    
   1.49000001     -0.888940454      -1.31084979      0.135084853    
   1.50000000     -0.886438310      -1.30906117       4.34229150E-02
   1.50999999     -0.884152889      -1.30696952      -5.35487197E-02
   1.51999998     -0.883563459      -1.29377985     -0.256735384    
   1.52999997     -0.884731472      -1.26873899     -0.562487423    
   1.53999996     -0.887345016      -1.23309350     -0.959133029    
   1.54999995     -0.891296148      -1.18647790      -1.45161533    
   1.55999994     -0.895451427      -1.13680208      -1.96967041    
   1.56999993     -0.898807943      -1.09222507      -2.43487430    
   1.57999992     -0.899607837      -1.06567860      -2.73203826    
   1.58999991     -0.897975922      -1.05730665      -2.86495852    
   1.59999990     -0.895471752      -1.05715227      -2.92162943    
   1.61000001     -0.894045413      -1.05415463      -2.98715019    
   1.62000000     -0.895200491      -1.03921056      -3.12300634    
   1.63000000     -0.898187041      -1.01501000      -3.29924583    
   1.63999999     -0.901125789     -0.988680780      -3.47026062    
   1.64999998     -0.902617872     -0.966132581      -3.60996127    
   1.65999997     -0.902504206     -0.949958920      -3.71816587    
   1.66999996     -0.901812673     -0.938400328      -3.82118058    
   1.67999995     -0.901322901     -0.929886281      -3.93597937    
   1.68999994     -0.901208639     -0.922519147      -4.07541227    
   1.69999993     -0.900121808     -0.920296013      -4.19785213    
   1.70999992     -0.897058725     -0.925182700      -4.26572037    
   1.71999991     -0.891339719     -0.940846443      -4.21550179    
   1.73000002     -0.884912491     -0.959330857      -4.09190941    
   1.74000001     -0.880565524     -0.968215466      -4.00132227    
   1.75000000     -0.879685104     -0.961514533      -4.01808119    
   1.75999999     -0.880605578     -0.946155071      -4.11526728    
   1.76999998     -0.880699277     -0.933760703      -4.20641565    
   1.77999997     -0.878281176     -0.932570636      -4.21742725    
   1.78999996     -0.874394059     -0.938860774      -4.16598129    
   1.79999995     -0.870234191     -0.949019074      -4.07013750    
   1.80999994     -0.866272569     -0.962365448      -3.92407942    
   1.81999993     -0.862281084     -0.979757488      -3.72464848    
   1.82999992     -0.858753324     -0.996469975      -3.52661657    
   1.83999991     -0.856294930      -1.00667107      -3.39607835    
   1.84999990     -0.855884075      -1.00279951      -3.39803696    
   1.86000001     -0.856798708     -0.987370253      -3.48290968    
   1.87000000     -0.858092070     -0.965507746      -3.58940816    
   1.88000000     -0.858366609     -0.945606828      -3.64214015    
   1.88999999     -0.857187867     -0.933698654      -3.60187101    
   1.89999998     -0.854918420     -0.932850540      -3.46026969    
   1.90999997     -0.852330983     -0.941227973      -3.24704289    
   1.91999996     -0.849623203     -0.955695152      -3.00045705    
   1.92999995     -0.846892595     -0.968913376      -2.77198625    
   1.93999994     -0.843823552     -0.976720989      -2.57228160    
   1.94999993     -0.840390921     -0.979844332      -2.37513566    
   1.95999992     -0.837971270     -0.977252662      -2.21688533    
   1.96999991     -0.837658405     -0.969137907      -2.12718844    
   1.97999990     -0.838972807     -0.957555473      -2.08487391    
   1.99000001     -0.839757085     -0.945459425      -2.01481295    
   2.00000000     -0.838446915     -0.934047461      -1.87149155    
   2.00999999     -0.835014522     -0.922508001      -1.67918515    
   2.01999998     -0.831174970     -0.907619178      -1.51231194    
   2.02999997     -0.827824593     -0.890375733      -1.38547158    
   2.03999996     -0.824086428     -0.876519680      -1.23425388    
   2.04999995     -0.819483042     -0.867982686      -1.02859223    
   2.05999994     -0.814701080     -0.861763477     -0.795604467    
   2.06999993     -0.811708748     -0.850180387     -0.628909349    
   2.07999992     -0.812106729     -0.825849235     -0.611201406    
   2.08999991     -0.814033389     -0.794130683     -0.672232151    
   2.09999990     -0.813876748     -0.765474975     -0.663385749    
   2.10999990     -0.807967603     -0.750857174     -0.418074220    
   2.11999989     -0.796535373     -0.748288214       4.38513234E-02
   2.12999988     -0.783065796     -0.746533036      0.546758533    
   2.13999987     -0.772841096     -0.730152905      0.828874767    
   2.14999986     -0.767627895     -0.695905566      0.807704628    
   2.15999985     -0.766031921     -0.649753332      0.567456007    
   2.16999984     -0.765127480     -0.601281285      0.283811241    
   2.18000007     -0.762335658     -0.557867467      0.105606161    
   2.19000006     -0.756450474     -0.520995677       9.97190401E-02
   2.20000005     -0.746312082     -0.490803748      0.306094319    
   2.21000004     -0.733085394     -0.464998275      0.667044699    
   2.22000003     -0.719848454     -0.438098371       1.02488208    
   2.23000002     -0.709407866     -0.403600842       1.19404984    
   2.24000001     -0.702209949     -0.356930614       1.09437966    
   2.25000000     -0.696433425     -0.299192637      0.815107524    
   2.25999999     -0.688412368     -0.235589132      0.566733062    
   2.26999998     -0.676935017     -0.171720535      0.487199306    
   2.27999997     -0.662223756     -0.110144190      0.574104488    
   2.28999996     -0.645999432      -5.23096249E-02  0.713153303    
   2.29999995     -0.629250646       7.43471493E-04  0.798370481    
   2.30999994     -0.610450268       4.68983576E-02  0.835355639    
   2.31999993     -0.588039756       8.59730393E-02  0.879443288    
   2.32999992     -0.561797023      0.122169577      0.996150792    
   2.33999991     -0.534012914      0.160897017       1.19009292    
   2.34999990     -0.508783817      0.205812976       1.40345895    
   2.35999990     -0.488502234      0.256831378       1.55397344    
   2.36999989     -0.469901264      0.315258592       1.63008344    
   2.37999988     -0.448419511      0.383574933       1.65156674    
   2.38999987     -0.421098918      0.464252084       1.65006268    
   2.39999986     -0.389674217      0.552233517       1.62881923    
   2.40999985     -0.357902139      0.640266538       1.57230771    
   2.41999984     -0.324271500      0.728779435       1.55411661    
   2.42999983     -0.283562392      0.826075375       1.67719328    
   2.44000006     -0.232557043      0.940863729       1.98741329    
   2.45000005     -0.173310637       1.07450879       2.41543055    
   2.46000004     -0.112737000       1.21813989       2.80583978    
   2.47000003      -5.56216799E-02   1.36112201       3.05008388    
   2.48000002       1.05160219E-03   1.50154161       3.16799974    
   2.49000001       6.61461577E-02   1.64657319       3.29653859    
   2.50000000      0.144782454       1.80302751       3.54042411    
   2.50999999      0.239370599       1.97663677       3.96562409    
   2.51999998      0.343037903       2.16439462       4.47938013    
   2.52999997      0.447518259       2.36060476       4.94379663    
   2.53999996      0.549034297       2.55751872       5.23561525    
   2.54999995      0.650814295       2.75058532       5.33550167    
   2.55999994      0.758237779       2.94059205       5.32410812    
   2.56999993      0.870128572       3.12819457       5.30085421    
   2.57999992      0.982550502       3.31697392       5.36404467    
   2.58999991       1.09208894       3.50100112       5.53124142    
   2.59999990       1.20090365       3.66917038       5.76773787    
   2.60999990       1.31033480       3.80709434       5.98260927    
   2.61999989       1.42255270       3.91268682       6.12092924    
   2.62999988       1.53504241       3.99560785       6.18415785    
   2.63999987       1.63712716       4.06233215       6.17209005    
   2.64999986       1.72211981       4.11712027       6.11070108    
   2.65999985       1.78321004       4.14700508       5.97353697    
   2.66999984       1.82089221       4.13493061       5.71788788    
   2.67999983       1.84213412       4.07049704       5.32320118    
   2.69000006       1.85331511       3.95562363       4.80901909    
   2.70000005       1.85708261       3.80468392       4.23405790    
   2.71000004       1.85001767       3.63085866       3.65418863    
   2.72000003       1.82824600       3.44567084       3.11980152    
   2.73000002       1.79549158       3.25762963       2.65872002    
   2.74000001       1.76384079       3.07217860       2.28028512    
   2.75000000       1.73791814       2.88369370       1.94157243    
   2.75999999       1.71255887       2.68093514       1.58107722    
   2.76999998       1.67377555       2.45881653       1.16529179    
   2.77999997       1.61265099       2.22306013      0.709212661    
   2.78999996       1.53126812       1.99123001      0.262343109    
   2.79999995       1.43686485       1.77305007     -0.161915094    
   2.80999994       1.34201455       1.57129681     -0.566013634    
   2.81999993       1.25916195       1.38788223     -0.940768540    
   2.82999992       1.19500685       1.22133756      -1.26727974    
   2.83999991       1.14241433       1.06153822      -1.55858350    
   2.84999990       1.09161639      0.898496091      -1.83189404    
   2.85999990       1.03647625      0.730128109      -2.10370755    
   2.86999989      0.984218478      0.567418516      -2.33811212    
   2.87999988      0.937978566      0.423013777      -2.52433825    
   2.88999987      0.898217976      0.299318284      -2.65631366    
   2.89999986      0.861365318      0.189910218      -2.75995135    
   2.90999985      0.824851453       8.47730637E-02  -2.85910630    
   2.91999984      0.786425292      -2.08312776E-02  -2.97453427    
   2.92999983      0.744080782     -0.128129870      -3.12087941    
   2.93999982      0.700079024     -0.231385514      -3.29010534    
   2.95000005      0.660977423     -0.321588248      -3.45795250    
   2.96000004      0.628692269     -0.394210279      -3.61136746    
   2.97000003      0.603273571     -0.452559441      -3.72646499    
   2.98000002      0.583855271     -0.507972479      -3.77205920    
   2.99000001      0.572664201     -0.571473300      -3.71489620    
   3.00000000      0.565376997     -0.645298958      -3.57696033    
   3.00999999      0.555417597     -0.721836448      -3.41435552    
   3.01999998      0.531760395     -0.789812386      -3.31384206    
   3.02999997      0.493376523     -0.843904138      -3.29955602    
   3.03999996      0.447489113     -0.886590838      -3.33751035    
   3.04999995      0.407799900     -0.924741745      -3.35344172    
   3.05999994      0.382575810     -0.962803483      -3.29505420    
   3.06999993      0.370744467     -0.998705745      -3.17058134    
