 Substance:Cu_48       2023/01/05 09:09:41                     
 Input files: ./data/cu_c48_n0120.dat to ./data/cu_c48_n0120.dat step           1
 Supercell size:          48
 Integration Monte Carlo     100000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
   4.520    3.133    0.000
   4.540    2.740    0.000
   4.560    2.288    0.000
   4.580    1.841    0.000
   4.600    1.468    0.000
   4.620    1.108    0.000
   4.640    0.818    0.000
   4.660    0.577    0.000
   4.680    0.409    0.000
   4.700    0.273    0.000
   4.720    0.175    0.000
   4.740    0.112    0.000
   4.760    0.071    0.001
   4.780    0.045    0.001
   4.800    0.033    0.002
   4.820    0.029    0.004
   4.840    0.037    0.007
   4.860    0.054    0.012
   4.880    0.086    0.021
   4.900    0.135    0.033
   4.920    0.199    0.050
   4.940    0.297    0.074
   4.960    0.403    0.101
   4.980    0.544    0.137
   5.000    0.698    0.177
   5.020    0.873    0.221
   5.040    1.040    0.261
   5.060    1.207    0.304
   5.080    1.329    0.331
   5.100    1.435    0.358
   5.120    1.492    0.373
   5.140    1.497    0.368
   5.160    1.454    0.362
   5.180    1.356    0.336
   5.200    1.234    0.309
   5.220    1.084    0.268
   5.240    0.912    0.227
   5.260    0.757    0.191
   5.280    0.605    0.152
   5.300    0.468    0.116
   5.320    0.352    0.087
   5.340    0.262    0.064
   5.360    0.192    0.044
   5.380    0.145    0.031
   5.400    0.117    0.022
   5.420    0.108    0.014
   5.440    0.112    0.009
   5.460    0.149    0.005
   5.480    0.196    0.003
   5.500    0.274    0.002
   5.520    0.375    0.001
   5.540    0.503    0.001
   5.560    0.675    0.000
   5.580    0.858    0.000
   5.600    1.068    0.000
   5.620    1.292    0.000
   5.640    1.515    0.000
   5.660    1.747    0.000
   5.680    1.930    0.000
   5.700    2.092    0.000
   5.720    2.176    0.000
   5.740    2.221    0.000
   5.760    2.185    0.000
   5.780    2.110    0.000
   5.800    1.973    0.000
   5.820    1.785    0.000
   5.840    1.566    0.000
   5.860    1.332    0.000
   5.880    1.099    0.000
   5.900    0.888    0.000
   5.920    0.691    0.000
   5.940    0.534    0.001
   5.960    0.397    0.002
   5.980    0.294    0.003
   6.000    0.217    0.005
   6.020    0.166    0.008
   6.040    0.136    0.012
   6.060    0.128    0.019
   6.080    0.143    0.027
   6.100    0.164    0.037
   6.120    0.209    0.049
   6.140    0.259    0.062
   6.160    0.319    0.078
   6.180    0.388    0.095
   6.200    0.454    0.114
   6.220    0.518    0.132
   6.240    0.569    0.140
   6.260    0.607    0.153
   6.280    0.621    0.154
   6.300    0.631    0.158
   6.320    0.600    0.151
   6.340    0.565    0.141
   6.360    0.512    0.127
   6.380    0.458    0.115
   6.400    0.394    0.096
   6.420    0.329    0.079
   6.440    0.275    0.064
   6.460    0.236    0.048
   6.480    0.214    0.036
   6.500    0.217    0.026
   6.520    0.250    0.019
   6.540    0.310    0.012
   6.560    0.415    0.009
   6.580    0.564    0.006
   6.600    0.753    0.004
   6.620    0.988    0.002
   6.640    1.273    0.001
   6.660    1.583    0.001
   6.680    1.914    0.000
   6.700    2.245    0.000
   6.720    2.562    0.000
   6.740    2.825    0.000
   6.760    3.029    0.000
   6.780    3.134    0.000
   6.800    3.147    0.000
   6.820    3.082    0.000
   6.840    2.908    0.000
   6.860    2.663    0.000
   6.880    2.369    0.001
   6.900    2.049    0.001
   6.920    1.714    0.001
   6.940    1.398    0.002
   6.960    1.115    0.003
   6.980    0.854    0.005
   7.000    0.657    0.007
   7.020    0.493    0.011
   7.040    0.373    0.015
   7.060    0.296    0.020
   7.080    0.247    0.027
   7.100    0.226    0.034
   7.120    0.224    0.042
   7.140    0.235    0.051
   7.160    0.252    0.057
   7.180    0.277    0.066
   7.200    0.305    0.074
   7.220    0.322    0.080
   7.240    0.339    0.084
   7.260    0.341    0.084
   7.280    0.341    0.082
   7.300    0.329    0.081
   7.320    0.313    0.076
   7.340    0.290    0.069
   7.360    0.268    0.060
   7.380    0.255    0.054
   7.400    0.240    0.045
   7.420    0.240    0.036
   7.440    0.258    0.029
   7.460    0.298    0.022
   7.480    0.355    0.017
   7.500    0.438    0.012
   7.520    0.555    0.009
   7.540    0.693    0.006
   7.560    0.859    0.004
   7.580    1.038    0.003
   7.600    1.212    0.002
   7.620    1.389    0.001
   7.640    1.557    0.001
   7.660    1.673    0.001
   7.680    1.752    0.000
   7.700    1.796    0.001
   7.720    1.774    0.001
   7.740    1.710    0.002
   7.760    1.607    0.003
   7.780    1.470    0.005
   7.800    1.313    0.007
   7.820    1.139    0.010
   7.840    0.980    0.017
   7.860    0.837    0.023
   7.880    0.714    0.033
   7.900    0.635    0.046
   7.920    0.585    0.063
   7.940    0.572    0.082
   7.960    0.596    0.107
   7.980    0.638    0.129
   8.000    0.707    0.157
   8.020    0.786    0.183
   8.040    0.875    0.208
   8.060    0.950    0.233
   8.080    1.014    0.251
   8.100    1.055    0.261
   8.120    1.070    0.267
   8.140    1.058    0.265
   8.160    1.024    0.253
   8.180    0.954    0.235
   8.200    0.870    0.212
   8.220    0.787    0.188
   8.240    0.698    0.161
   8.260    0.613    0.134
   8.280    0.548    0.108
   8.300    0.503    0.086
   8.320    0.482    0.066
   8.340    0.485    0.048
   8.360    0.519    0.035
   8.380    0.568    0.025
   8.400    0.640    0.017
   8.420    0.718    0.011
   8.440    0.795    0.008
   8.460    0.868    0.005
   8.480    0.933    0.003
   8.500    0.963    0.003
   8.520    0.973    0.002
   8.540    0.955    0.002
   8.560    0.917    0.004
   8.580    0.857    0.006
   8.600    0.779    0.009
   8.620    0.704    0.013
   8.640    0.627    0.019
