 Substance:Cu_48       2023/01/05 09:18:09                     
 Input files: ./data/cu_c48_n0120.dat to ./data/cu_c48_n0120.dat step           1
 Supercell size:          48
 Integration Monte Carlo     100000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
   0.020    0.000    0.000
   0.040    0.000    0.000
   0.060    0.000    0.000
   0.080    0.000    0.000
   0.100    0.000    0.000
   0.120    0.000    0.000
   0.140    0.000    0.000
   0.160    0.000    0.000
   0.180    0.000    0.000
   0.200    0.000    0.000
   0.220    0.000    0.000
   0.240    0.000    0.000
   0.260    0.000    0.000
   0.280    0.000    0.000
   0.300    0.000    0.000
   0.320    0.000    0.000
   0.340    0.000    0.000
   0.360    0.000    0.000
   0.380    0.000    0.000
   0.400    0.000    0.000
   0.420    0.000    0.000
   0.440    0.000    0.000
   0.460    0.000    0.000
   0.480    0.000    0.000
   0.500    0.000    0.000
   0.520    0.000    0.000
   0.540    0.000    0.000
   0.560    0.000    0.000
   0.580    0.000    0.000
   0.600    0.000    0.000
   0.620    0.000    0.000
   0.640    0.000    0.000
   0.660    0.000    0.000
   0.680    0.000    0.000
   0.700    0.000    0.000
   0.720    0.000    0.000
   0.740    0.000    0.000
   0.760    0.000    0.000
   0.780    0.000    0.000
   0.800    0.000    0.000
   0.820    0.000    0.000
   0.840    0.000    0.000
   0.860    0.000    0.000
   0.880    0.000    0.000
   0.900    0.000    0.000
   0.920    0.000    0.000
   0.940    0.000    0.000
   0.960    0.000    0.000
   0.980    0.000    0.000
   1.000    0.000    0.000
   1.020    0.000    0.000
   1.040    0.000    0.000
   1.060    0.000    0.000
   1.080    0.000    0.000
   1.100    0.000    0.000
   1.120    0.000    0.000
   1.140    0.000    0.000
   1.160    0.000    0.000
   1.180    0.000    0.000
   1.200    0.000    0.000
   1.220    0.000    0.000
   1.240    0.000    0.000
   1.260    0.000    0.000
   1.280    0.000    0.000
   1.300    0.000    0.000
   1.320    0.000    0.000
   1.340    0.000    0.000
   1.360    0.000    0.000
   1.380    0.000    0.000
   1.400    0.000    0.000
   1.420    0.000    0.000
   1.440    0.000    0.000
   1.460    0.000    0.000
   1.480    0.000    0.000
   1.500    0.000    0.000
   1.520    0.000    0.000
   1.540    0.000    0.000
   1.560    0.000    0.000
   1.580    0.000    0.000
   1.600    0.000    0.000
   1.620    0.000    0.000
   1.640    0.000    0.000
   1.660    0.000    0.000
   1.680    0.000    0.000
   1.700    0.000    0.000
   1.720    0.000    0.000
   1.740    0.000    0.000
   1.760    0.000    0.000
   1.780    0.000    0.000
   1.800    0.000    0.000
   1.820    0.000    0.000
   1.840    0.000    0.000
   1.860    0.000    0.000
   1.880    0.000    0.000
   1.900    0.000    0.000
   1.920    0.000    0.000
   1.940    0.000    0.000
   1.960    0.000    0.000
   1.980    0.000    0.000
   2.000    0.000    0.000
   2.020    0.000    0.000
   2.040    0.000    0.000
   2.060    0.000    0.000
   2.080    0.000    0.000
   2.100    0.000    0.000
   2.120    0.000    0.000
   2.140    0.000    0.000
   2.160    0.000    0.000
   2.180    0.000    0.000
   2.200    0.000    0.000
   2.220    0.000    0.000
   2.240    0.000    0.000
   2.260    0.004    0.000
   2.280    0.011    0.000
   2.300    0.030    0.000
   2.320    0.077    0.000
   2.340    0.164    0.000
   2.360    0.336    0.000
   2.380    0.605    0.000
   2.400    0.995    0.000
   2.420    1.523    0.000
   2.440    2.222    0.000
   2.460    2.959    0.000
   2.480    3.766    0.000
   2.500    4.488    0.000
   2.520    5.068    0.000
   2.540    5.370    0.000
   2.560    5.445    0.000
   2.580    5.274    0.000
   2.600    4.855    0.000
   2.620    4.335    0.000
   2.640    3.674    0.000
   2.660    3.012    0.000
   2.680    2.341    0.000
   2.700    1.779    0.000
   2.720    1.303    0.000
   2.740    0.945    0.000
   2.760    0.645    0.000
   2.780    0.419    0.000
   2.800    0.270    0.000
   2.820    0.177    0.000
   2.840    0.109    0.000
   2.860    0.064    0.000
   2.880    0.035    0.000
   2.900    0.021    0.000
   2.920    0.011    0.000
   2.940    0.007    0.000
   2.960    0.003    0.000
   2.980    0.002    0.000
   3.000    0.001    0.000
   3.020    0.000    0.000
   3.040    0.000    0.000
   3.060    0.000    0.000
   3.080    0.000    0.000
   3.100    0.000    0.000
   3.120    0.000    0.000
   3.140    0.000    0.000
