 Substance:Cu       2022/06/11 09:05:19                     
 Input files: cu_48_n0121.dat to ./data/cu_48_n0121.dat step           1
 Supercell size:          48
 Integration Monte Carlo      20000000 cell pairs
 Atoms/unit_cell:           4
 Atoms  :    Cu1     Cu2     Cu3     Cu4 
 Atom no.        1       2       3       4
 Occup's:   1.0000  1.0000  1.0000  1.0000
 at_weights:   1.0000  1.0000  1.0000  1.0000
 Masks	:        1       1       1       1

 Atom pair partials:
                       1
                       1
   r(A^)   PDF_tot   PDF partials (cf. above)
   4.520    3.351    0.000
   4.540    2.872    0.000
   4.560    2.435    0.000
   4.580    1.950    0.000
   4.600    1.532    0.000
   4.620    1.182    0.000
   4.640    0.863    0.000
   4.660    0.608    0.000
   4.680    0.433    0.000
   4.700    0.294    0.000
   4.720    0.188    0.000
   4.740    0.115    0.000
   4.760    0.069    0.001
   4.780    0.045    0.001
   4.800    0.033    0.003
   4.820    0.032    0.004
   4.840    0.039    0.007
   4.860    0.060    0.014
   4.880    0.097    0.025
   4.900    0.143    0.038
   4.920    0.213    0.051
   4.940    0.309    0.075
   4.960    0.428    0.108
   4.980    0.571    0.144
   5.000    0.750    0.188
   5.020    0.931    0.232
   5.040    1.104    0.280
   5.060    1.275    0.323
   5.080    1.426    0.359
   5.100    1.538    0.386
   5.120    1.586    0.394
   5.140    1.594    0.396
   5.160    1.542    0.378
   5.180    1.459    0.367
   5.200    1.319    0.329
   5.220    1.122    0.282
   5.240    0.966    0.239
   5.260    0.801    0.199
   5.280    0.648    0.163
   5.300    0.497    0.127
   5.320    0.378    0.092
   5.340    0.277    0.067
   5.360    0.202    0.048
   5.380    0.156    0.035
   5.400    0.121    0.022
   5.420    0.115    0.014
   5.440    0.120    0.009
   5.460    0.154    0.006
   5.480    0.215    0.003
   5.500    0.288    0.001
   5.520    0.400    0.001
   5.540    0.538    0.000
   5.560    0.706    0.001
   5.580    0.910    0.000
   5.600    1.152    0.000
   5.620    1.368    0.000
   5.640    1.633    0.000
   5.660    1.851    0.000
   5.680    2.057    0.000
   5.700    2.235    0.000
   5.720    2.323    0.000
   5.740    2.353    0.000
   5.760    2.336    0.000
   5.780    2.243    0.000
   5.800    2.076    0.000
   5.820    1.887    0.000
   5.840    1.654    0.000
   5.860    1.404    0.000
   5.880    1.170    0.000
   5.900    0.943    0.000
   5.920    0.739    0.001
   5.940    0.560    0.001
   5.960    0.427    0.002
   5.980    0.306    0.003
   6.000    0.222    0.006
   6.020    0.172    0.008
   6.040    0.144    0.013
   6.060    0.139    0.021
   6.080    0.156    0.028
   6.100    0.179    0.040
   6.120    0.235    0.056
   6.140    0.283    0.066
   6.160    0.348    0.084
   6.180    0.429    0.108
   6.200    0.508    0.127
   6.220    0.570    0.145
   6.240    0.631    0.156
   6.260    0.677    0.173
   6.280    0.697    0.174
   6.300    0.690    0.173
   6.320    0.650    0.166
   6.340    0.615    0.154
   6.360    0.564    0.142
   6.380    0.498    0.120
   6.400    0.439    0.108
   6.420    0.360    0.085
   6.440    0.305    0.069
   6.460    0.263    0.051
   6.480    0.234    0.039
   6.500    0.237    0.030
   6.520    0.273    0.021
   6.540    0.335    0.015
   6.560    0.452    0.009
   6.580    0.615    0.006
   6.600    0.813    0.004
   6.620    1.079    0.003
   6.640    1.393    0.001
   6.660    1.733    0.001
   6.680    2.109    0.001
   6.700    2.467    0.001
   6.720    2.815    0.000
   6.740    3.137    0.000
   6.760    3.334    0.000
   6.780    3.454    0.000
   6.800    3.475    0.000
   6.820    3.377    0.000
   6.840    3.207    0.000
   6.860    2.928    0.000
   6.880    2.597    0.001
   6.900    2.253    0.001
   6.920    1.863    0.002
   6.940    1.540    0.003
   6.960    1.199    0.004
   6.980    0.937    0.006
   7.000    0.716    0.009
   7.020    0.537    0.012
   7.040    0.410    0.015
   7.060    0.321    0.022
   7.080    0.264    0.026
   7.100    0.242    0.035
   7.120    0.239    0.043
   7.140    0.256    0.056
   7.160    0.270    0.061
   7.180    0.289    0.067
   7.200    0.325    0.080
   7.220    0.347    0.085
   7.240    0.360    0.091
   7.260    0.367    0.090
   7.280    0.364    0.090
   7.300    0.348    0.085
   7.320    0.336    0.082
   7.340    0.310    0.077
   7.360    0.291    0.064
   7.380    0.266    0.055
   7.400    0.256    0.046
   7.420    0.255    0.038
   7.440    0.280    0.031
   7.460    0.314    0.024
   7.480    0.390    0.018
   7.500    0.476    0.013
   7.520    0.608    0.009
   7.540    0.769    0.007
   7.560    0.943    0.004
   7.580    1.139    0.002
   7.600    1.337    0.002
   7.620    1.528    0.001
   7.640    1.699    0.001
   7.660    1.841    0.001
   7.680    1.920    0.001
   7.700    1.968    0.001
   7.720    1.946    0.001
   7.740    1.882    0.002
   7.760    1.746    0.003
   7.780    1.615    0.005
   7.800    1.428    0.008
   7.820    1.253    0.012
   7.840    1.076    0.018
   7.860    0.912    0.025
   7.880    0.784    0.035
   7.900    0.689    0.050
   7.920    0.638    0.067
   7.940    0.625    0.091
   7.960    0.646    0.116
   7.980    0.699    0.145
   8.000    0.776    0.171
   8.020    0.861    0.201
   8.040    0.955    0.227
   8.060    1.048    0.260
   8.080    1.116    0.275
   8.100    1.161    0.292
   8.120    1.174    0.290
   8.140    1.153    0.288
   8.160    1.121    0.280
   8.180    1.040    0.254
   8.200    0.967    0.237
   8.220    0.861    0.207
   8.240    0.759    0.177
   8.260    0.678    0.146
   8.280    0.605    0.117
   8.300    0.551    0.094
   8.320    0.534    0.073
   8.340    0.545    0.054
   8.360    0.581    0.038
   8.380    0.644    0.025
   8.400    0.724    0.018
   8.420    0.815    0.012
   8.440    0.896    0.008
   8.460    0.985    0.005
   8.480    1.057    0.003
   8.500    1.089    0.002
   8.520    1.104    0.003
   8.540    1.085    0.003
   8.560    1.041    0.004
   8.580    0.967    0.007
   8.600    0.880    0.009
   8.620    0.787    0.016
   8.640    0.711    0.021
   8.660    0.638    0.032
   8.680    0.578    0.044
   8.700    0.555    0.059
   8.720    0.540    0.078
   8.740    0.566    0.099
   8.760    0.620    0.125
   8.780    0.687    0.152
   8.800    0.764    0.174
   8.820    0.842    0.202
   8.840    0.909    0.222
   8.860    0.959    0.232
   8.880    1.002    0.246
   8.900    1.009    0.244
   8.920    1.015    0.241
   8.940    0.988    0.229
   8.960    0.956    0.212
   8.980    0.928    0.192
   9.000    0.915    0.167
   9.020    0.909    0.142
   9.040    0.938    0.115
   9.060    1.013    0.093
   9.080    1.134    0.074
   9.100    1.298    0.054
   9.120    1.493    0.041
   9.140    1.718    0.027
   9.160    1.960    0.021
   9.180    2.205    0.013
   9.200    2.409    0.009
   9.220    2.574    0.006
   9.240    2.682    0.003
   9.260    2.695    0.002
   9.280    2.664    0.001
   9.300    2.557    0.001
   9.320    2.370    0.000
   9.340    2.146    0.000
   9.360    1.884    0.000
   9.380    1.609    0.000
   9.400    1.344    0.000
   9.420    1.074    0.000
   9.440    0.843    0.000
   9.460    0.644    0.000
   9.480    0.479    0.000
   9.500    0.346    0.000
   9.520    0.244    0.000
   9.540    0.170    0.000
   9.560    0.122    0.000
   9.580    0.086    0.000
   9.600    0.068    0.000
   9.620    0.066    0.000
   9.640    0.075    0.000
   9.660    0.097    0.000
   9.680    0.136    0.000
   9.700    0.186    0.000
   9.720    0.252    0.000
   9.740    0.344    0.000
   9.760    0.460    0.000
   9.780    0.581    0.000
   9.800    0.723    0.000
   9.820    0.876    0.000
   9.840    1.034    0.000
   9.860    1.184    0.000
   9.880    1.315    0.000
   9.900    1.427    0.001
   9.920    1.504    0.001
   9.940    1.541    0.001
   9.960    1.541    0.003
   9.980    1.490    0.004
  10.000    1.423    0.006
  10.020    1.321    0.009
  10.040    1.192    0.012
  10.060    1.062    0.017
  10.080    0.930    0.024
  10.100    0.803    0.031
  10.120    0.702    0.039
  10.140    0.615    0.049
  10.160    0.555    0.058
  10.180    0.502    0.068
  10.200    0.471    0.075
  10.220    0.461    0.082
  10.240    0.452    0.090
  10.260    0.441    0.088
  10.280    0.445    0.091
  10.300    0.446    0.091
  10.320    0.449    0.083
  10.340    0.464    0.078
  10.360    0.490    0.071
  10.380    0.527    0.062
  10.400    0.588    0.052
  10.420    0.658    0.044
  10.440    0.752    0.033
  10.460    0.860    0.026
  10.480    0.977    0.019
  10.500    1.094    0.016
  10.520    1.208    0.010
  10.540    1.302    0.009
  10.560    1.370    0.008
  10.580    1.404    0.009
  10.600    1.412    0.011
  10.620    1.388    0.015
  10.640    1.340    0.021
  10.660    1.268    0.028
  10.680    1.176    0.038
  10.700    1.098    0.052
  10.720    1.014    0.067
  10.740    0.951    0.087
  10.760    0.905    0.105
  10.780    0.878    0.125
  10.800    0.868    0.144
  10.820    0.878    0.163
  10.840    0.886    0.179
  10.860    0.905    0.192
  10.880    0.926    0.199
  10.900    0.939    0.204
  10.920    0.943    0.195
  10.940    0.963    0.190
  10.960    0.977    0.175
  10.980    0.990    0.155
  11.000    1.039    0.142
  11.020    1.092    0.117
  11.040    1.173    0.096
  11.060    1.278    0.076
  11.080    1.394    0.061
  11.100    1.522    0.047
  11.120    1.638    0.037
  11.140    1.753    0.029
  11.160    1.823    0.022
  11.180    1.883    0.017
  11.200    1.897    0.017
  11.220    1.857    0.017
  11.240    1.788    0.021
  11.260    1.683    0.028
  11.280    1.560    0.035
  11.300    1.414    0.046
  11.320    1.286    0.055
  11.340    1.150    0.068
  11.360    1.040    0.080
  11.380    0.946    0.098
  11.400    0.876    0.109
  11.420    0.822    0.124
  11.440    0.783    0.134
  11.460    0.753    0.141
  11.480    0.735    0.141
  11.500    0.724    0.142
  11.520    0.724    0.138
  11.540    0.715    0.129
  11.560    0.725    0.119
  11.580    0.743    0.107
  11.600    0.769    0.093
  11.620    0.809    0.078
  11.640    0.865    0.063
  11.660    0.938    0.053
  11.680    0.994    0.041
  11.700    1.060    0.032
  11.720    1.112    0.025
  11.740    1.160    0.022
  11.760    1.194    0.019
  11.780    1.179    0.018
  11.800    1.157    0.021
  11.820    1.114    0.026
  11.840    1.056    0.032
  11.860    0.993    0.042
  11.880    0.916    0.050
  11.900    0.859    0.061
  11.920    0.802    0.075
  11.940    0.752    0.089
  11.960    0.727    0.100
  11.980    0.695    0.111
  12.000    0.687    0.123
  12.020    0.678    0.128
  12.040    0.672    0.127
  12.060    0.674    0.129
  12.080    0.681    0.126
  12.100    0.695    0.117
  12.120    0.707    0.108
  12.140    0.731    0.098
  12.160    0.761    0.082
  12.180    0.806    0.071
  12.200    0.857    0.059
